id,depart,timeloss,espera,paradas,co2
p1_N2_S2.0,0.0,40.0,29.0,1,221.56
p1_N1_S1.0,0.0,38.87,29.0,1,221.38
p1_S2_N2.0,0.0,40.2,30.0,1,227.79
p1_N1_S1.1,10.0,34.54,21.0,1,209.37
p1_S2_N2.1,10.0,34.7,22.0,1,214.74
p1_N2_S2.1,10.0,36.33,24.0,1,219.1
p1_N1_S1.2,20.0,26.4,13.0,1,196.51
p1_N2_S2.2,20.0,28.14,16.0,1,206.06
p1_S1_N1.0,0.0,34.91,25.0,1,210.0
p1_S2_N2.2,20.0,22.01,10.0,1,182.99
p1_S1_N1.1,10.0,33.93,21.0,1,208.46
p1_N1_S1.3,30.0,15.65,4.0,1,179.37
p1_N2_S2.3,30.0,18.88,4.0,1,189.8
p1_S2_N2.3,30.0,21.2,6.0,1,206.34
p1_N1_S1.4,40.0,11.65,0.0,0,172.31
p1_S1_N1.2,20.0,31.75,15.0,1,212.63
p1_S2_N2.4,40.0,13.0,0.0,0,183.13
p1_S1_N1.3,30.0,23.56,7.0,1,210.97
p1_N2_S2.4,40.0,16.53,0.0,0,175.54
p1_S2_N2.5,50.0,5.84,0.0,0,155.19
p1_E_W.0,0.0,27.83,17.0,1,243.29
p1_E_N1.0,3.0,29.42,16.0,1,253.52
p1_W_S2.0,3.0,41.2,23.0,1,262.32
p1_E_W.1,8.0,37.16,16.0,1,262.56
p1_E_W.2,15.0,27.59,13.0,1,246.97
p1_W_E.0,0.0,34.54,22.0,1,244.7
p1_E_W.3,22.0,26.67,11.0,1,261.28
p1_W_E.1,6.0,44.1,21.0,1,286.07
p1_E_W.4,29.0,21.46,5.0,1,248.99
p1_N2_W.0,3.0,49.11,27.0,1,304.84
p1_W_E.2,9.0,42.63,21.0,1,294.05
p1_W_E.3,12.0,40.63,21.0,1,295.4
p1_W_E.4,15.0,40.12,20.0,1,290.45
p1_W_E.5,18.0,39.39,20.0,1,277.09
p1_W_E.6,21.0,38.11,20.0,1,276.59
p1_W_E.7,24.0,36.87,19.0,1,272.84
p1_S1_E.0,3.0,53.49,30.0,2,307.01
p1_S1_E.1,33.0,28.6,4.0,1,280.44
p1_W_E.8,27.0,30.12,18.0,1,250.76
p1_W_E.9,30.0,33.36,18.0,1,260.88
p1_W_S2.1,36.0,34.41,16.0,1,269.7
p1_W_E.10,33.0,38.26,16.0,1,273.55
p1_E_N1.1,32.0,31.62,19.0,1,263.63
p1_W_E.11,39.0,27.76,12.0,1,261.89
p1_W_E.12,42.0,30.41,12.0,1,266.1
p1_N2_W.1,33.0,12.56,0.0,0,222.52
p1_W_E.13,45.0,31.18,12.0,1,287.07
p1_E_W.5,36.0,28.33,13.0,1,242.23
p1_W_E.14,48.0,32.06,9.0,1,290.99
p1_S1_N1.4,40.0,62.41,45.0,2,266.69
p1_E_W.6,44.0,37.11,13.0,1,271.06
p1_N1_S1.5,50.0,52.22,40.0,1,238.29
p1_E_W.7,51.0,31.75,8.0,1,275.58
p1_W_E.15,51.0,20.1,7.0,1,224.11
p1_W_E.16,54.0,33.77,6.0,1,248.48
p1_S1_N1.5,50.0,49.5,39.0,1,221.88
p1_W_E.17,57.0,25.14,5.0,1,258.38
p1_N1_S1.6,60.0,37.05,25.0,1,215.32
p1_S1_N1.6,60.0,52.53,35.0,1,246.8
p1_S2_N2.6,60.0,52.36,40.0,1,240.8
p1_W_E.18,59.0,32.34,5.0,1,271.84
p1_N1_S1.7,70.0,43.92,25.0,1,224.72
p1_S1_N1.7,70.0,44.28,27.0,1,233.02
p1_S2_N2.7,70.0,44.45,32.0,1,229.26
p1_N1_S1.8,80.0,35.69,15.0,1,225.13
p1_S1_N1.8,80.0,35.98,19.0,1,223.02
p1_N2_S2.5,50.0,58.39,46.0,1,242.15
p1_S2_N2.8,80.0,34.92,23.0,1,214.11
p1_N1_S1.9,90.0,26.14,7.0,1,213.93
p1_S1_N1.9,90.0,27.66,10.0,1,218.61
p1_N2_S2.6,60.0,59.27,44.0,1,251.65
p1_S2_N2.9,90.0,28.84,16.0,1,212.11
p1_N1_S1.10,100.0,19.12,0.0,0,193.78
p1_N2_S2.7,70.0,50.96,35.0,1,241.64
p1_S1_N1.10,100.0,18.26,2.0,1,190.52
p1_N1_S1.11,110.0,10.73,0.0,0,167.08
p1_N2_S2.8,80.0,41.36,28.0,1,229.15
p1_S2_N2.10,100.0,17.54,6.0,1,186.64
p1_N2_S2.9,90.0,34.36,19.0,1,242.7
p1_S2_N2.11,110.0,14.0,0.0,0,189.27
p1_E_W.8,58.0,46.08,22.0,2,294.56
p1_S2_N2.12,120.0,5.87,0.0,0,153.07
p1_N2_S2.10,100.0,26.99,14.0,1,213.71
p1_E_W.9,65.0,42.95,19.0,1,289.58
p1_N2_S2.11,110.0,18.67,4.0,1,189.31
p1_E_N1.2,61.0,40.52,21.0,1,288.34
p1_E_W.10,72.0,38.27,19.0,1,276.97
p1_E_W.11,80.0,32.0,18.0,1,248.15
p1_E_W.12,87.0,26.76,13.0,1,242.75
p1_W_S2.2,69.0,48.7,22.0,2,282.23
p1_W_E.19,63.0,42.71,25.0,2,273.27
p1_W_E.20,66.0,51.82,23.0,2,299.04
p1_E_N1.3,90.0,24.36,8.0,1,241.39
p1_E_W.13,94.0,25.94,6.0,1,240.9
p1_W_E.21,72.0,49.77,18.0,1,305.08
p1_E_W.14,101.0,21.04,2.0,1,235.84
p1_N2_W.2,63.0,60.67,43.0,1,319.56
p1_W_E.22,75.0,48.64,18.0,1,311.19
p1_W_E.23,78.0,47.28,18.0,1,306.44
p1_N2_W.3,93.0,32.98,17.0,1,268.04
p1_W_E.24,81.0,40.46,18.0,1,288.1
p1_W_E.25,84.0,46.5,16.0,1,294.7
p1_W_E.26,87.0,45.34,17.0,1,285.15
p1_S1_E.2,63.0,71.0,44.0,2,342.7
p1_S1_E.3,93.0,41.37,15.0,2,300.12
p1_E_W.15,108.0,28.59,17.0,1,249.16
p1_W_E.27,90.0,44.99,21.0,1,298.72
p1_E_W.16,116.0,22.46,9.0,1,241.12
p1_W_E.28,93.0,42.79,20.0,1,307.98
p1_W_E.29,96.0,44.99,19.0,1,309.3
p1_W_E.30,99.0,32.96,14.0,1,260.79
p1_N1_S1.12,120.0,48.69,38.0,1,237.49
p1_W_S2.3,102.0,37.2,13.0,1,273.65
p1_N1_S1.13,130.0,40.89,29.0,1,224.34
p1_N1_S1.14,140.0,32.86,19.0,1,208.9
p1_S1_N1.11,110.0,51.71,40.0,1,231.65
p1_S1_N1.12,120.0,56.26,39.0,1,247.37
p1_W_E.31,105.0,28.33,10.0,1,250.11
p1_S1_N1.13,130.0,47.97,32.0,1,240.96
p1_S2_N2.13,130.0,47.53,37.0,1,230.52
p1_W_E.32,108.0,49.34,9.0,1,280.39
p1_S1_N1.14,140.0,39.64,24.0,1,227.92
p1_N1_S1.15,150.0,20.98,8.0,1,185.7
p1_N2_S2.12,120.0,56.6,42.0,1,250.1
p1_W_E.33,111.0,33.9,9.0,1,279.01
p1_S1_N1.15,150.0,29.18,14.0,1,202.79
p1_N1_S1.16,160.0,20.91,2.0,1,192.71
p1_S2_N2.14,140.0,38.94,26.0,1,226.37
p1_N2_S2.13,130.0,52.39,40.0,1,240.94
p1_N1_S1.17,170.0,8.04,0.0,0,170.68
p1_S1_N1.16,160.0,23.32,8.0,1,201.79
p1_S2_N2.15,150.0,30.86,19.0,1,207.32
p1_S1_N1.17,170.0,15.72,0.0,0,183.72
p1_S2_N2.16,160.0,20.22,7.0,1,190.95
p1_S2_N2.17,170.0,20.75,4.0,1,197.37
p1_N2_S2.14,140.0,38.28,26.0,1,212.25
p1_S2_N2.18,180.0,12.4,0.0,0,187.79
p1_N2_S2.15,150.0,38.89,22.0,1,216.7
p1_E_N1.4,120.0,43.5,26.0,2,278.52
p1_N2_S2.16,160.0,34.93,16.0,1,221.68
p1_S2_N2.19,190.0,5.72,0.0,0,149.45
p1_E_W.17,123.0,45.4,22.0,2,296.03
p1_N2_S2.17,170.0,26.67,8.0,1,212.49
p1_E_W.18,130.0,45.99,20.0,1,294.05
p1_N2_S2.18,180.0,18.41,0.0,0,204.34
p1_E_W.19,137.0,40.74,19.0,1,279.18
p1_W_E.34,114.0,66.22,32.0,2,325.35
