id,depart,timeloss,espera,paradas,co2
p1_W_S2.0,3.0,15.25,0.0,0,215.91
p1_W_E.0,0.0,7.37,0.0,0,192.17
p1_W_E.1,6.0,16.99,0.0,0,243.59
p1_E_W.0,0.0,7.68,0.0,0,196.1
p1_E_N1.0,3.0,10.58,0.0,0,218.95
p1_W_E.2,9.0,15.37,0.0,0,249.55
p1_E_W.1,8.0,17.16,0.0,0,230.21
p1_W_E.3,12.0,13.32,0.0,0,238.72
p1_W_E.4,15.0,12.72,0.0,0,246.76
p1_W_E.5,18.0,11.86,0.0,0,230.57
p1_N1_S1.0,0.0,48.91,39.0,1,234.06
p1_W_E.6,21.0,10.62,0.0,0,218.19
p1_N1_S1.1,10.0,44.58,31.0,1,220.65
p1_N1_S1.2,20.0,36.41,23.0,1,220.12
p1_N2_S2.0,0.0,55.58,44.0,1,246.21
p1_S2_N2.0,0.0,55.47,45.0,1,247.6
p1_S1_N1.0,0.0,44.85,35.0,1,222.33
p1_N1_S1.3,30.0,24.87,14.0,1,194.32
p1_S1_N1.1,10.0,43.83,31.0,1,227.41
p1_N2_S2.1,10.0,50.58,39.0,1,241.43
p1_S2_N2.1,10.0,49.89,37.0,1,243.17
p1_N1_S1.4,40.0,20.89,6.0,1,191.21
p1_S1_N1.2,20.0,41.42,25.0,1,234.12
p1_N2_S2.2,20.0,42.56,31.0,1,221.4
p1_N1_S1.5,50.0,12.51,0.0,0,184.73
p1_S2_N2.2,20.0,36.94,25.0,1,202.21
p1_S1_N1.3,30.0,33.16,17.0,1,240.58
p1_N2_S2.3,30.0,33.03,19.0,1,206.15
p1_S1_N1.4,40.0,25.64,10.0,1,217.13
p1_S2_N2.3,30.0,36.08,21.0,1,217.67
p1_S2_N2.4,40.0,27.71,12.0,1,211.48
p1_S2_N2.5,50.0,12.45,0.0,0,167.27
p1_N2_S2.4,40.0,31.95,9.0,1,214.32
p1_S1_N1.5,50.0,10.87,0.0,0,174.42
p1_S2_N2.6,60.0,12.24,0.0,0,169.54
p1_S1_N1.6,60.0,14.04,0.0,0,173.49
p1_S2_N2.7,70.0,5.37,0.0,0,146.18
p1_E_W.2,15.0,35.59,23.0,1,254.12
p1_E_W.3,22.0,34.84,20.0,1,260.51
p1_N2_S2.5,50.0,19.8,3.0,1,193.14
p1_E_W.4,29.0,29.67,13.0,1,261.37
p1_N2_S2.6,60.0,20.78,0.0,0,204.32
p1_W_E.7,24.0,38.76,25.0,1,261.53
p1_E_N1.1,32.0,21.55,8.0,1,234.73
p1_E_W.5,36.0,16.8,2.0,1,231.26
p1_W_E.8,27.0,31.17,19.0,1,247.82
p1_E_W.6,44.0,25.48,1.0,1,252.78
p1_N2_W.0,3.0,68.05,42.0,1,340.78
p1_W_E.9,30.0,34.38,18.0,1,270.31
p1_W_S2.1,36.0,35.18,16.0,1,268.4
p1_W_E.10,33.0,39.34,17.0,1,279.95
p1_S1_E.0,3.0,65.3,42.0,2,313.99
p1_S1_E.1,33.0,39.98,16.0,2,285.64
p1_W_E.11,39.0,33.84,22.0,1,253.15
p1_W_E.12,42.0,36.39,22.0,1,271.35
p1_W_E.13,45.0,37.31,20.0,1,280.46
p1_W_E.14,48.0,38.09,20.0,1,293.34
p1_N2_W.1,33.0,27.89,9.0,1,253.53
p1_W_E.15,51.0,27.67,14.0,1,245.77
p1_N2_W.2,63.0,31.43,0.0,0,262.23
p1_W_E.16,54.0,41.2,14.0,1,274.77
p1_E_W.7,51.0,45.18,21.0,1,274.84
p1_W_E.17,57.0,32.6,14.0,1,282.95
p1_E_N1.2,61.0,28.23,13.0,1,247.55
p1_E_W.8,58.0,39.93,17.0,1,270.03
p1_W_E.18,59.0,39.69,13.0,1,286.48
p1_W_S2.2,69.0,31.02,9.0,1,268.53
p1_E_W.9,65.0,34.69,12.0,1,274.05
p1_W_E.19,63.0,25.34,9.0,1,249.21
p1_W_E.20,66.0,34.4,9.0,1,275.91
p1_S1_N1.7,70.0,55.06,43.0,1,234.29
p1_W_E.21,72.0,32.4,9.0,1,292.25
p1_S1_N1.8,80.0,46.66,36.0,1,236.56
p1_W_E.22,75.0,31.08,6.0,1,294.21
p1_S1_N1.9,90.0,39.0,26.0,1,223.04
p1_N1_S1.6,60.0,55.33,44.0,1,234.83
p1_N1_S1.7,70.0,62.27,43.0,1,257.34
p1_N2_S2.7,70.0,62.34,48.0,1,251.99
p1_S2_N2.8,80.0,50.99,40.0,1,236.75
p1_N1_S1.8,80.0,53.96,36.0,1,257.36
p1_N2_S2.8,80.0,53.1,42.0,1,241.84
p1_N1_S1.9,90.0,44.44,26.0,1,236.71
p1_S2_N2.9,90.0,44.94,33.0,1,236.92
p1_S1_N1.10,100.0,32.45,17.0,1,209.46
p1_N2_S2.9,90.0,46.15,33.0,1,236.13
p1_N1_S1.10,100.0,37.48,19.0,1,229.91
