id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,33.82,24.0,1,210.33
p1_N2_S2.0,0.0,35.53,24.0,1,218.17
p1_S2_N2.0,0.0,35.07,25.0,1,215.62
p1_N1_S1.1,10.0,29.48,16.0,1,202.96
p1_S2_N2.1,10.0,29.54,17.0,1,207.62
p1_N2_S2.1,10.0,30.39,19.0,1,204.91
p1_N1_S1.2,20.0,21.38,8.0,1,199.38
p1_N2_S2.2,20.0,22.45,11.0,1,193.56
p1_S1_N1.0,0.0,29.55,20.0,1,199.02
p1_S2_N2.2,20.0,17.09,5.0,1,177.96
p1_N1_S1.3,30.0,9.85,0.0,0,171.93
p1_S1_N1.1,10.0,28.44,16.0,1,202.47
p1_N2_S2.3,30.0,12.74,0.0,0,182.64
p1_S2_N2.3,30.0,16.27,1.0,1,180.24
p1_N1_S1.4,40.0,5.91,0.0,0,154.23
p1_S1_N1.2,20.0,26.04,10.0,1,209.34
p1_S2_N2.4,40.0,8.1,0.0,0,167.68
p1_S1_N1.3,30.0,17.98,2.0,1,207.66
p1_W_S2.0,3.0,31.37,13.0,1,244.36
p1_W_E.0,0.0,24.99,12.0,1,234.63
p1_E_W.0,0.0,23.11,11.0,1,233.46
p1_E_N1.0,3.0,24.57,11.0,1,243.83
p1_W_E.1,6.0,34.67,11.0,1,273.34
p1_E_W.1,8.0,32.53,9.0,1,256.99
p1_W_E.2,9.0,33.1,10.0,1,284.24
p1_E_W.2,15.0,22.91,6.0,1,245.61
p1_W_E.3,12.0,30.89,10.0,1,279.58
p1_E_W.3,22.0,22.01,5.0,1,232.42
p1_N2_W.0,3.0,42.22,22.0,1,284.61
p1_W_E.4,15.0,30.45,9.0,1,281.51
p1_W_E.5,18.0,29.66,8.0,1,276.26
p1_W_E.6,21.0,28.51,8.0,1,260.7
p1_W_E.7,24.0,27.24,8.0,1,268.37
p1_S1_E.0,3.0,43.68,19.0,1,298.15
p1_S1_E.1,33.0,18.8,0.0,0,260.14
p1_E_W.4,29.0,26.63,15.0,1,243.55
p1_W_E.8,27.0,25.0,13.0,1,230.75
p1_W_E.9,30.0,28.18,13.0,1,251.75
p1_W_E.10,33.0,33.01,11.0,1,260.83
p1_W_S2.1,36.0,29.27,11.0,1,269.58
p1_E_N1.1,32.0,24.51,9.0,1,252.03
p1_W_E.11,39.0,23.05,7.0,1,252.91
p1_E_W.5,36.0,19.24,6.0,1,232.53
p1_W_E.12,42.0,25.65,7.0,1,257.89
p1_E_W.6,44.0,27.88,4.0,1,262.32
p1_W_E.13,45.0,26.44,7.0,1,274.54
p1_E_W.7,51.0,22.71,0.0,0,259.28
p1_S1_N1.4,40.0,57.73,42.0,1,242.91
p1_W_E.14,48.0,27.21,5.0,1,290.67
p1_E_W.8,58.0,17.46,0.0,0,239.24
p1_N1_S1.5,50.0,48.33,36.0,1,227.33
p1_W_E.15,51.0,15.62,0.0,0,216.88
p1_N2_S2.4,40.0,64.71,46.0,1,255.44
p1_S1_N1.5,50.0,44.07,32.0,1,221.67
p1_S2_N2.5,50.0,48.68,39.0,1,231.7
p1_S1_N1.6,60.0,47.06,29.0,1,234.36
p1_N1_S1.6,60.0,32.73,22.0,1,210.08
p1_S2_N2.6,60.0,48.63,32.0,1,238.38
p1_N1_S1.7,70.0,39.69,20.0,1,210.92
p1_S1_N1.7,70.0,38.85,23.0,1,222.91
p1_S2_N2.7,70.0,40.33,25.0,1,235.28
p1_S1_N1.8,80.0,30.61,12.0,1,217.44
p1_N2_S2.5,50.0,51.96,40.0,1,234.82
p1_N1_S1.8,80.0,31.52,11.0,1,218.76
p1_S2_N2.8,80.0,29.95,15.0,1,206.12
p1_S1_N1.9,90.0,22.36,5.0,1,204.16
p1_N2_S2.6,60.0,52.89,37.0,1,249.72
p1_N1_S1.9,90.0,22.1,1.0,1,205.78
p1_N2_S2.7,70.0,44.64,29.0,1,236.57
p1_S2_N2.9,90.0,23.88,6.0,1,204.64
p1_N1_S1.10,100.0,15.06,0.0,0,195.88
p1_N2_S2.8,80.0,35.05,21.0,1,226.69
p1_S2_N2.10,100.0,11.09,0.0,0,179.0
p1_E_N1.2,61.0,27.57,16.0,1,236.19
p1_E_W.9,65.0,30.47,14.0,1,246.15
