id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,5.14,0.0,0,151.33
p1_S1_N1.0,0.0,6.12,0.0,0,158.01
p1_N1_S1.1,10.0,22.12,11.0,1,183.16
p1_N1_S1.2,20.0,14.35,2.0,1,176.66
p1_S1_N1.1,10.0,18.93,8.0,1,181.13
p1_S1_N1.2,20.0,16.45,2.0,1,200.6
p1_N2_S2.0,0.0,35.62,24.0,1,214.13
p1_S2_N2.0,0.0,35.07,25.0,1,215.62
p1_S2_N2.1,10.0,29.54,17.0,1,207.62
p1_S1_N1.3,30.0,8.13,0.0,0,169.53
p1_N2_S2.1,10.0,30.28,19.0,1,209.12
p1_N1_S1.3,30.0,5.63,0.0,0,149.47
p1_N2_S2.2,20.0,22.47,11.0,1,194.68
p1_S2_N2.2,20.0,17.09,5.0,1,177.96
p1_N2_S2.3,30.0,12.75,0.0,0,181.08
p1_S1_N1.4,40.0,5.31,0.0,0,145.5
p1_S2_N2.3,30.0,16.27,1.0,1,180.24
p1_S2_N2.4,40.0,8.1,0.0,0,167.68
p1_E_W.0,0.0,19.25,7.0,1,227.1
p1_E_N1.0,3.0,20.59,7.0,1,239.55
p1_E_W.1,8.0,28.61,5.0,1,243.96
p1_E_W.2,15.0,18.96,2.0,1,244.54
p1_S1_E.0,3.0,30.92,14.0,1,262.53
p1_W_S2.0,3.0,38.1,13.0,2,265.92
p1_N1_S1.4,40.0,24.08,11.0,1,196.63
p1_W_E.0,0.0,30.84,14.0,2,259.72
p1_N1_S1.5,50.0,15.97,3.0,1,183.3
p1_W_E.1,6.0,40.48,11.0,2,271.27
p1_S1_N1.5,50.0,6.72,0.0,0,149.08
p1_W_E.2,9.0,38.95,10.0,2,279.27
p1_S1_N1.6,60.0,9.84,0.0,0,170.6
p1_W_E.3,12.0,36.65,9.0,2,287.55
p1_S1_E.1,33.0,15.43,0.0,0,250.35
p1_E_W.3,22.0,32.62,15.0,1,265.28
p1_N2_S2.4,40.0,37.32,20.0,1,209.53
p1_N2_W.0,3.0,53.14,33.0,2,299.17
p1_S2_N2.5,50.0,23.83,14.0,1,194.75
p1_S2_N2.6,60.0,23.57,7.0,1,194.97
p1_N2_S2.5,50.0,25.3,12.0,1,193.33
p1_S2_N2.7,70.0,15.38,0.0,0,189.8
p1_N2_S2.6,60.0,26.21,9.0,1,206.84
p1_W_E.4,15.0,53.86,30.0,3,306.38
p1_W_E.5,18.0,52.97,25.0,2,308.64
p1_W_E.6,21.0,51.79,24.0,2,314.76
p1_E_N1.1,32.0,30.36,14.0,1,261.74
p1_W_E.7,24.0,50.7,23.0,2,302.67
p1_N2_W.1,33.0,12.04,0.0,0,216.78
p1_E_W.4,29.0,49.63,20.0,1,270.48
p1_W_E.8,27.0,43.12,19.0,2,274.77
p1_E_W.5,36.0,29.39,11.0,1,254.26
p1_E_W.6,44.0,38.1,9.0,1,273.53
p1_S1_E.2,63.0,19.23,2.0,1,246.81
p1_W_E.9,30.0,48.04,23.0,2,288.03
p1_E_W.7,51.0,32.74,4.0,1,269.84
p1_S1_N1.7,70.0,35.33,23.0,1,217.63
p1_E_W.8,58.0,27.39,0.0,0,256.93
p1_S1_N1.8,80.0,27.15,14.0,1,195.83
p1_N2_S2.7,70.0,38.21,18.0,2,215.96
p1_S2_N2.8,80.0,27.22,14.0,1,200.73
p1_S1_N1.9,90.0,19.23,5.0,1,189.53
p1_N2_S2.8,80.0,30.25,17.0,1,206.39
p1_S2_N2.9,90.0,21.19,9.0,1,208.96
p1_N1_S1.6,60.0,37.25,26.0,1,211.84
p1_N2_S2.9,90.0,23.46,11.0,1,206.5
p1_N1_S1.7,70.0,44.11,25.0,1,233.09
p1_S2_N2.10,100.0,9.88,0.0,0,171.56
p1_N1_S1.8,80.0,35.86,17.0,1,233.01
p1_S2_N2.11,110.0,6.43,0.0,0,154.2
p1_N1_S1.9,90.0,26.36,8.0,1,228.29
p1_E_N1.2,61.0,30.35,12.0,1,255.54
p1_N2_W.2,63.0,35.42,14.0,2,272.5
p1_W_E.10,33.0,66.59,35.0,3,332.59
p1_E_W.9,65.0,35.18,14.0,2,270.1
p1_W_S2.1,36.0,65.25,31.0,3,333.02
p1_E_W.10,72.0,30.12,9.0,1,267.47
p1_E_W.11,80.0,24.01,4.0,1,259.96
p1_E_W.12,87.0,18.74,0.0,0,240.5
p1_W_E.11,39.0,59.36,30.0,3,320.08
p1_W_E.12,42.0,61.93,25.0,3,328.14
p1_W_E.13,45.0,62.72,25.0,3,332.93
p1_E_N1.3,90.0,16.8,0.0,0,233.71
p1_E_W.13,94.0,18.16,0.0,0,234.97
p1_N2_S2.10,100.0,34.75,17.0,2,218.9
p1_S2_N2.12,120.0,14.41,2.0,1,184.84
p1_N2_W.3,93.0,22.58,9.0,1,235.25
p1_N2_S2.11,110.0,26.47,12.0,1,203.76
p1_S2_N2.13,130.0,5.69,0.0,0,153.69
p1_N2_S2.12,120.0,16.4,4.0,1,189.79
p1_N1_S1.10,100.0,45.5,28.0,1,238.75
p1_W_E.14,48.0,77.56,34.0,4,361.67
p1_S1_N1.10,100.0,44.07,29.0,1,227.49
p1_N1_S1.11,110.0,37.53,25.0,1,214.95
p1_N1_S1.12,120.0,29.99,17.0,1,201.94
p1_N1_S1.13,130.0,21.7,9.0,1,190.38
p1_S1_N1.11,110.0,31.32,19.0,1,202.52
p1_W_E.15,51.0,67.92,27.0,4,328.72
p1_S1_N1.12,120.0,36.02,18.0,1,220.15
p1_W_E.16,54.0,81.44,25.0,4,355.46
p1_E_W.14,101.0,36.01,17.0,2,270.23
p1_W_E.17,57.0,72.92,25.0,5,342.39
p1_W_E.18,60.0,79.01,21.0,4,357.34
p1_E_W.15,108.0,30.99,10.0,2,263.49
p1_N2_S2.13,130.0,29.85,13.0,1,208.27
p1_E_W.16,116.0,24.98,6.0,1,260.09
p1_S2_N2.14,140.0,19.34,6.0,1,189.39
p1_S2_N2.15,150.0,10.85,0.0,0,173.56
p1_N2_S2.14,140.0,15.79,5.0,1,179.32
p1_N2_S2.15,150.0,16.34,1.0,1,187.72
p1_N2_W.4,123.0,16.44,2.0,1,228.66
p1_W_E.19,62.0,82.23,28.0,4,340.7
p1_E_N1.4,120.0,27.31,14.0,1,253.8
p1_E_W.17,123.0,29.16,14.0,1,263.52
p1_W_S2.2,69.0,89.59,27.0,4,366.28
p1_S1_E.3,93.0,64.08,23.0,3,329.12
p1_E_W.18,130.0,29.68,9.0,1,279.73
p1_W_E.20,66.0,92.04,33.0,4,367.05
p1_W_E.21,72.0,90.01,24.0,4,367.06
p1_E_W.19,137.0,24.44,4.0,1,281.35
p1_W_E.22,75.0,88.77,25.0,4,358.19
p1_W_E.23,78.0,87.51,24.0,4,367.85
p1_S1_N1.13,130.0,56.93,38.0,2,251.21
p1_N1_S1.14,140.0,46.96,28.0,1,237.46
p1_S1_N1.14,140.0,48.66,29.0,2,241.3
p1_W_E.24,81.0,80.61,24.0,4,337.63
p1_W_E.25,84.0,86.52,19.0,4,329.27
p1_S1_N1.15,150.0,39.92,27.0,1,217.18
p1_N1_S1.15,150.0,35.21,25.0,1,203.12
p1_W_E.26,87.0,85.36,17.0,4,348.51
p1_N1_S1.16,160.0,35.04,19.0,1,221.94
p1_W_E.27,90.0,81.64,15.0,3,345.24
p1_W_E.28,93.0,79.33,13.0,3,341.77
p1_N1_S1.17,170.0,22.19,7.0,1,203.27
p1_W_E.29,96.0,81.64,11.0,3,347.16
p1_W_E.30,99.0,69.33,10.0,3,330.12
p1_E_W.20,144.0,25.55,11.0,1,237.64
p1_S1_E.4,123.0,58.03,19.0,2,329.91
p1_E_N1.5,150.0,28.23,11.0,1,261.86
p1_N2_S2.16,160.0,46.68,33.0,1,236.52
p1_N2_W.5,153.0,32.51,5.0,1,275.16
