id,depart,timeloss,espera,paradas,co2
p1_N2_S2.0,0.0,6.38,0.0,0,153.14
p1_S2_N2.0,0.0,5.84,0.0,0,148.93
p1_N1_S1.0,0.0,29.01,19.0,1,201.42
p1_N1_S1.1,20.0,14.78,1.0,1,181.14
p1_S1_N1.0,0.0,24.63,13.0,1,192.02
p1_W_S2.0,3.0,15.11,0.0,0,221.94
p1_S1_N1.1,20.0,13.55,1.0,1,179.69
p1_W_E.0,0.0,7.17,0.0,0,195.3
p1_W_E.1,6.0,16.74,0.0,0,234.31
p1_N1_S1.2,40.0,5.47,0.0,0,146.79
p1_W_E.2,12.0,12.12,0.0,0,235.32
p1_S1_N1.2,40.0,5.74,0.0,0,149.6
p1_W_E.3,18.0,7.25,0.0,0,190.52
p1_S2_N2.1,20.0,36.72,26.0,1,216.83
p1_N2_S2.1,20.0,36.85,25.0,1,215.95
p1_N2_S2.2,40.0,18.65,7.0,1,187.66
p1_N2_W.0,3.0,34.91,21.0,1,267.56
p1_S2_N2.2,40.0,14.83,4.0,1,177.5
p1_S2_N2.3,60.0,5.44,0.0,0,152.63
p1_E_W.0,0.0,29.93,12.0,1,258.48
p1_E_N1.0,3.0,32.18,11.0,1,256.95
p1_N2_S2.3,60.0,5.8,0.0,0,152.04
p1_E_W.1,15.0,32.34,5.0,1,275.38
p1_E_W.2,29.0,20.04,0.0,0,239.82
p1_E_W.3,44.0,6.96,0.0,0,199.65
p1_S1_E.0,3.0,55.25,34.0,2,303.28
p1_S1_N1.3,60.0,26.51,16.0,1,199.59
p1_W_E.4,24.0,42.05,24.0,1,284.71
p1_W_E.5,30.0,33.93,18.0,1,267.98
p1_N1_S1.3,60.0,25.87,15.0,1,198.22
p1_W_E.6,36.0,34.07,14.0,1,274.95
p1_S1_N1.4,80.0,11.2,0.0,0,176.76
p1_N1_S1.4,80.0,11.8,0.0,0,176.65
p1_W_E.7,42.0,29.88,10.0,1,278.58
p1_W_E.8,48.0,17.2,3.0,1,225.63
p1_W_E.9,54.0,17.37,1.0,1,247.22
p1_W_S2.1,63.0,15.06,0.0,0,268.58
p1_W_E.10,60.0,19.17,0.0,0,257.1
p1_W_E.11,66.0,9.43,0.0,0,218.31
p1_N1_S1.5,100.0,5.74,0.0,0,149.19
p1_W_E.12,72.0,8.96,0.0,0,209.42
p1_S2_N2.4,80.0,32.93,21.0,1,216.67
p1_N2_S2.4,80.0,34.75,23.0,1,207.39
p1_E_W.4,58.0,35.75,18.0,2,265.42
p1_S2_N2.5,100.0,10.44,0.0,0,169.44
p1_E_N1.1,61.0,28.59,12.0,1,260.9
p1_N2_S2.5,100.0,11.96,0.0,0,173.66
p1_N2_S2.6,120.0,5.42,0.0,0,150.76
p1_S2_N2.6,120.0,5.24,0.0,0,144.91
p1_E_W.5,72.0,17.38,0.0,0,231.88
p1_E_W.6,87.0,19.11,0.0,0,215.96
p1_S1_E.1,63.0,54.1,38.0,2,299.35
p1_W_E.13,78.0,41.94,25.0,1,286.14
p1_W_E.14,84.0,39.86,22.0,1,287.43
p1_S1_N1.5,100.0,38.19,27.0,1,208.95
p1_N1_S1.6,120.0,16.48,5.0,1,181.85
p1_S1_N1.6,120.0,31.32,13.0,1,203.81
p1_W_E.15,90.0,26.11,12.0,1,238.9
p1_N1_S1.7,140.0,13.49,0.0,0,170.7
p1_S1_N1.7,140.0,13.13,0.0,0,190.97
p1_W_E.16,96.0,36.73,10.0,1,265.09
p1_W_E.17,102.0,32.4,9.0,1,270.17
p1_W_E.18,108.0,28.0,5.0,1,257.24
p1_W_S2.2,123.0,14.33,0.0,0,240.14
p1_W_E.19,114.0,11.6,0.0,0,228.08
p1_W_E.20,120.0,17.71,0.0,0,253.77
p1_W_E.21,126.0,15.78,0.0,0,233.99
p1_W_E.22,132.0,11.53,0.0,0,222.35
p1_S1_N1.8,160.0,5.51,0.0,0,153.79
p1_N1_S1.8,160.0,6.08,0.0,0,154.22
p1_N2_S2.7,140.0,28.51,17.0,1,203.29
p1_S2_N2.7,140.0,28.21,16.0,1,206.47
p1_N2_S2.8,160.0,9.22,0.0,0,173.75
p1_S2_N2.8,160.0,8.52,0.0,0,171.58
p1_N2_W.1,63.0,66.28,49.0,2,317.01
p1_E_N1.2,120.0,34.18,13.0,2,271.35
p1_N2_W.2,123.0,40.38,14.0,1,268.11
p1_N2_S2.9,180.0,5.03,0.0,0,145.98
p1_S2_N2.9,180.0,6.64,0.0,0,155.84
p1_E_W.7,101.0,56.87,29.0,2,300.6
p1_E_W.8,116.0,51.06,17.0,2,307.78
p1_E_W.9,130.0,38.76,5.0,2,296.27
p1_E_W.10,144.0,26.66,2.0,1,254.69
p1_S1_E.2,123.0,51.64,31.0,2,293.25
p1_W_E.23,138.0,38.37,23.0,1,270.91
p1_S1_N1.9,180.0,19.55,10.0,1,191.03
p1_N1_S1.9,180.0,19.27,7.0,1,186.15
p1_W_E.24,144.0,30.22,16.0,1,246.11
p1_W_E.25,150.0,33.11,14.0,1,257.38
p1_N1_S1.10,200.0,5.43,0.0,0,145.06
p1_W_E.26,156.0,28.83,9.0,1,256.57
p1_W_E.27,162.0,22.03,4.0,1,260.42
p1_S1_N1.10,200.0,6.43,0.0,0,148.92
p1_W_E.28,168.0,16.85,0.0,0,247.8
p1_W_E.29,174.0,16.2,0.0,0,255.54
p1_N2_S2.10,200.0,24.07,12.0,1,205.51
p1_W_E.30,180.0,8.82,0.0,0,204.38
p1_N2_S2.11,220.0,5.91,0.0,0,150.26
p1_N2_W.3,183.0,22.84,10.0,1,254.31
p1_S2_N2.10,200.0,22.06,11.0,1,194.46
p1_S2_N2.11,220.0,8.53,0.0,0,157.29
p1_E_W.11,159.0,48.59,29.0,2,300.34
p1_E_W.12,173.0,36.7,18.0,2,282.23
p1_E_W.13,188.0,27.04,3.0,2,266.57
p1_E_N1.3,180.0,30.23,9.0,2,269.76
p1_E_W.14,202.0,14.83,0.0,0,227.04
p1_S2_N2.12,240.0,5.04,0.0,0,150.95
p1_N2_S2.12,240.0,6.05,0.0,0,148.09
p1_S1_E.3,183.0,48.74,30.0,2,287.6
p1_W_S2.3,183.0,41.83,28.0,1,262.99
p1_N1_S1.11,220.0,35.16,26.0,1,214.74
p1_N1_S1.12,240.0,17.8,5.0,1,191.45
p1_S1_N1.11,220.0,29.11,19.0,1,200.14
p1_S1_N1.12,240.0,23.69,6.0,1,193.18
p1_N1_S1.13,260.0,5.34,0.0,0,149.14
p1_W_E.31,186.0,36.22,22.0,1,259.2
p1_S1_N1.13,260.0,6.24,0.0,0,150.72
p1_W_E.32,192.0,54.18,22.0,1,270.61
p1_W_E.33,198.0,35.69,17.0,1,267.57
p1_W_E.34,204.0,45.6,16.0,1,303.65
p1_W_E.35,210.0,32.55,10.0,1,300.38
p1_W_E.36,216.0,37.37,9.0,1,302.36
p1_W_E.37,222.0,29.37,2.0,1,295.23
p1_W_E.38,228.0,28.77,0.0,0,283.77
p1_W_E.39,234.0,16.12,0.0,0,255.2
p1_S2_N2.13,260.0,20.17,7.0,1,190.02
p1_W_E.40,240.0,17.0,0.0,0,230.93
p1_N2_S2.13,260.0,22.18,11.0,1,196.68
p1_E_W.15,216.0,45.78,26.0,2,292.18
