id,depart,timeloss,espera,paradas,co2
p1_N2_S2.0,0.0,15.39,4.0,1,184.89
p1_S2_N2.0,0.0,15.29,2.0,1,178.78
p1_N1_S1.0,0.0,18.86,9.0,1,182.67
p1_N1_S1.1,20.0,6.12,0.0,0,144.31
p1_S1_N1.0,0.0,15.09,3.0,1,181.05
p1_S1_N1.1,20.0,5.4,0.0,0,154.23
p1_W_S2.0,3.0,15.06,0.0,0,223.29
p1_W_E.0,0.0,7.8,0.0,0,198.57
p1_E_W.0,0.0,7.4,0.0,0,196.55
p1_W_E.1,6.0,17.45,0.0,0,231.24
p1_N2_W.0,3.0,21.49,3.0,1,234.04
p1_S1_E.0,3.0,19.23,3.0,1,234.0
p1_W_E.2,12.0,22.72,11.0,1,246.45
p1_E_W.1,15.0,24.25,5.0,1,249.87
p1_N2_S2.1,20.0,42.73,31.0,1,221.86
p1_E_W.2,29.0,12.03,0.0,0,217.72
p1_E_N1.0,3.0,26.57,12.0,1,254.87
p1_S2_N2.1,20.0,42.9,31.0,1,222.68
p1_N2_S2.2,40.0,24.57,13.0,1,201.43
p1_N1_S1.2,40.0,27.28,16.0,1,201.24
p1_S1_N1.2,40.0,26.65,16.0,1,194.5
p1_S2_N2.2,40.0,20.71,10.0,1,191.34
p1_N2_S2.3,60.0,5.74,0.0,0,152.92
p1_S1_N1.3,60.0,8.6,0.0,0,171.42
p1_S2_N2.3,60.0,9.93,0.0,0,154.07
p1_N1_S1.3,60.0,6.92,0.0,0,152.5
p1_W_E.3,18.0,35.07,18.0,2,274.7
p1_W_E.4,24.0,32.43,12.0,2,268.19
p1_E_W.3,44.0,15.15,2.0,1,226.27
p1_W_E.5,30.0,25.79,10.0,1,243.55
p1_W_E.6,36.0,26.0,9.0,1,247.77
p1_W_E.7,42.0,21.73,5.0,1,246.39
p1_W_E.8,48.0,9.4,0.0,0,199.7
p1_W_E.9,54.0,9.55,0.0,0,211.55
p1_S1_E.1,63.0,9.22,0.0,0,204.02
p1_E_W.4,58.0,18.49,6.0,1,224.55
p1_S2_N2.4,80.0,23.82,14.0,1,198.7
p1_N2_S2.4,80.0,25.45,15.0,1,195.69
p1_E_N1.1,61.0,15.31,3.0,1,234.24
p1_N1_S1.4,80.0,28.55,16.0,1,208.52
p1_S1_N1.4,80.0,29.24,17.0,1,206.33
p1_N1_S1.5,100.0,10.48,0.0,0,176.72
p1_S2_N2.5,100.0,6.49,0.0,0,154.58
p1_W_E.10,60.0,34.92,17.0,2,274.03
p1_N2_S2.5,100.0,6.73,0.0,0,151.45
p1_S1_N1.5,100.0,6.2,0.0,0,151.77
p1_W_S2.1,63.0,34.0,16.0,2,276.39
p1_W_E.11,66.0,28.18,8.0,2,270.03
p1_W_E.12,72.0,27.79,4.0,2,261.44
p1_E_W.5,72.0,18.58,5.0,1,230.19
p1_W_E.13,78.0,25.56,3.0,1,271.75
p1_W_E.14,84.0,23.42,3.0,1,270.65
p1_E_W.6,87.0,20.32,2.0,1,238.39
p1_W_E.15,90.0,8.74,0.0,0,201.26
p1_W_E.16,96.0,19.34,0.0,0,229.48
p1_N2_S2.6,120.0,24.24,12.0,1,195.2
p1_S2_N2.6,120.0,24.38,12.0,1,194.09
p1_S1_N1.6,120.0,24.86,13.0,1,198.59
p1_S2_N2.7,140.0,6.17,0.0,0,163.41
p1_N2_W.1,63.0,32.02,18.0,1,250.89
p1_S1_N1.7,140.0,8.17,0.0,0,166.74
p1_N2_S2.7,140.0,8.02,0.0,0,165.9
p1_N1_S1.6,120.0,16.93,7.0,1,179.2
p1_N1_S1.7,140.0,13.83,0.0,0,173.32
p1_W_E.17,102.0,34.52,15.0,2,271.0
p1_E_W.7,101.0,30.35,12.0,2,270.8
p1_W_E.18,108.0,30.34,8.0,2,263.46
p1_E_W.8,116.0,24.55,8.0,1,250.57
p1_E_W.9,130.0,12.98,0.0,0,220.64
p1_W_E.19,114.0,18.52,3.0,1,230.36
p1_E_N1.2,120.0,16.68,3.0,1,230.32
p1_W_S2.2,123.0,22.58,2.0,1,234.26
p1_W_E.20,120.0,24.57,3.0,1,243.22
p1_N2_W.2,123.0,24.1,11.0,1,240.26
p1_W_E.21,126.0,22.59,1.0,1,235.17
p1_W_E.22,132.0,18.31,0.0,0,236.53
p1_S1_E.2,123.0,28.98,11.0,1,257.77
p1_W_E.23,138.0,20.58,9.0,1,233.2
p1_N1_S1.8,160.0,20.33,11.0,1,190.28
p1_S1_N1.8,160.0,20.99,8.0,1,186.35
p1_W_E.24,144.0,13.88,1.0,1,224.99
p1_N1_S1.9,180.0,5.3,0.0,0,145.49
p1_S1_N1.9,180.0,5.96,0.0,0,152.57
p1_N2_S2.8,160.0,29.79,18.0,1,208.62
p1_S2_N2.8,160.0,29.19,19.0,1,209.41
p1_E_W.10,144.0,27.56,10.0,2,264.56
p1_N2_S2.9,180.0,12.9,1.0,1,188.21
p1_S2_N2.9,180.0,13.11,0.0,0,186.86
p1_E_W.11,159.0,14.18,1.0,1,225.21
p1_E_W.12,173.0,6.7,0.0,0,191.27
p1_W_E.25,150.0,31.76,13.0,1,276.84
p1_W_E.26,156.0,27.66,12.0,1,256.73
p1_W_E.27,162.0,22.42,8.0,1,234.05
p1_W_E.28,168.0,17.68,3.0,1,235.02
p1_W_E.29,174.0,20.63,8.0,1,235.67
p1_N1_S1.10,200.0,21.98,11.0,1,197.17
p1_S1_N1.10,200.0,22.09,10.0,1,195.1
p1_N1_S1.11,220.0,5.83,0.0,0,150.24
p1_W_E.30,180.0,12.17,0.0,0,221.7
p1_W_S2.3,183.0,15.27,0.0,0,240.93
p1_N2_S2.10,200.0,31.6,21.0,1,209.39
p1_S2_N2.10,200.0,29.32,18.0,1,196.37
p1_N2_S2.11,220.0,13.66,0.0,0,180.83
p1_N2_W.3,183.0,30.34,11.0,1,263.44
p1_S2_N2.11,220.0,15.93,1.0,1,191.7
