id,depart,timeloss,espera,paradas,co2
p1_N2_S2.0,0.0,6.38,0.0,0,153.14
p1_S2_N2.0,0.0,5.84,0.0,0,148.93
p1_N1_S1.0,0.0,5.26,0.0,0,150.64
p1_N2_W.0,3.0,8.97,0.0,0,210.65
p1_N1_S1.1,20.0,21.97,11.0,1,191.53
p1_N2_S2.1,20.0,22.2,11.0,1,196.58
p1_S2_N2.1,20.0,22.49,12.0,1,193.26
p1_N1_S1.2,40.0,5.21,0.0,0,150.07
p1_N2_S2.2,40.0,6.07,0.0,0,147.9
p1_S1_N1.0,0.0,35.46,24.0,1,210.38
p1_S1_N1.1,20.0,24.56,12.0,1,187.87
p1_S1_N1.2,40.0,12.23,0.0,0,178.45
p1_S2_N2.2,40.0,5.74,0.0,0,155.41
p1_W_S2.0,3.0,32.04,9.0,1,270.49
p1_W_E.0,0.0,25.48,9.0,1,252.78
p1_E_W.0,0.0,24.04,9.0,1,248.48
p1_E_N1.0,3.0,25.86,9.0,1,243.86
p1_W_E.1,6.0,35.18,8.0,1,281.39
p1_E_W.1,15.0,26.55,9.0,1,235.61
p1_W_E.2,12.0,30.66,8.0,1,273.46
p1_E_W.2,29.0,14.26,0.0,0,233.22
p1_W_E.3,18.0,25.46,7.0,1,237.73
p1_W_E.4,24.0,21.96,5.0,1,245.02
p1_S1_E.0,3.0,40.16,24.0,1,269.86
p1_S1_N1.3,60.0,12.41,3.0,1,176.81
p1_N1_S1.3,60.0,11.24,0.0,0,166.0
p1_W_E.5,30.0,25.23,12.0,1,241.62
p1_W_E.6,36.0,25.36,10.0,1,260.11
p1_W_E.7,42.0,21.1,5.0,1,250.75
p1_E_W.3,44.0,20.79,4.0,1,260.42
p1_E_W.4,58.0,8.88,0.0,0,204.28
p1_W_E.8,48.0,11.35,0.0,0,212.27
p1_S2_N2.3,60.0,33.52,22.0,1,212.13
p1_N2_S2.3,60.0,32.09,21.0,1,206.24
p1_S2_N2.4,80.0,15.24,4.0,1,184.03
p1_N2_S2.4,80.0,18.75,5.0,1,181.11
p1_E_N1.1,61.0,9.02,0.0,0,216.29
p1_W_E.9,54.0,26.46,12.0,1,254.04
p1_W_E.10,60.0,28.25,11.0,1,255.1
p1_S1_E.1,63.0,23.78,5.0,1,253.86
p1_W_S2.1,63.0,28.26,13.0,1,263.49
p1_N1_S1.4,80.0,34.34,23.0,1,217.14
p1_S1_N1.4,80.0,34.44,23.0,1,215.13
p1_W_E.11,66.0,21.81,9.0,1,234.8
p1_N1_S1.5,100.0,16.79,6.0,1,192.89
p1_W_E.12,72.0,21.28,5.0,1,251.73
p1_W_E.13,78.0,19.17,2.0,1,261.93
p1_W_E.14,84.0,16.92,0.0,0,268.58
p1_S1_N1.5,100.0,11.35,0.0,0,173.2
p1_E_W.5,72.0,24.63,11.0,1,251.86
p1_W_E.15,90.0,8.96,0.0,0,189.34
p1_N2_S2.5,100.0,30.46,19.0,1,207.98
p1_S2_N2.5,100.0,30.85,20.0,1,203.61
p1_S2_N2.6,120.0,20.73,4.0,1,193.55
p1_N2_S2.6,120.0,21.4,4.0,1,195.83
p1_N2_W.1,63.0,26.52,11.0,1,238.8
p1_E_W.6,87.0,36.46,8.0,1,254.41
p1_W_E.16,96.0,30.02,11.0,1,240.89
p1_E_W.7,101.0,16.7,0.0,0,225.32
p1_E_W.8,116.0,10.91,0.0,0,206.7
p1_W_E.17,102.0,26.15,11.0,1,229.92
p1_W_E.18,108.0,22.12,9.0,1,251.59
p1_S1_N1.6,120.0,35.57,24.0,1,221.01
p1_S1_N1.7,140.0,19.78,7.0,1,187.39
p1_W_E.19,114.0,12.34,0.0,0,218.27
p1_W_S2.2,123.0,16.43,0.0,0,244.43
p1_W_E.20,120.0,18.45,0.0,0,247.1
p1_N1_S1.6,120.0,28.12,17.0,1,200.23
p1_W_E.21,126.0,16.38,0.0,0,243.26
p1_W_E.22,132.0,12.0,0.0,0,229.38
p1_N1_S1.7,140.0,24.99,5.0,1,198.15
p1_W_E.23,138.0,7.76,0.0,0,208.76
p1_N2_W.2,123.0,25.41,4.0,2,262.22
p1_E_N1.2,120.0,22.08,10.0,1,227.58
p1_E_W.9,130.0,20.16,6.0,1,240.28
p1_E_W.10,144.0,8.05,0.0,0,203.93
p1_N2_S2.7,140.0,35.21,24.0,1,216.7
p1_S2_N2.7,140.0,35.14,25.0,1,216.66
p1_N2_S2.8,160.0,16.49,6.0,1,190.19
p1_S2_N2.8,160.0,16.45,5.0,1,191.33
p1_E_W.11,159.0,6.93,0.0,0,192.97
p1_S1_E.2,123.0,43.58,25.0,2,281.98
p1_W_E.24,144.0,23.82,11.0,1,233.47
p1_N1_S1.8,160.0,36.68,24.0,1,218.84
p1_S1_N1.8,160.0,36.51,25.0,1,210.47
p1_W_E.25,150.0,26.9,9.0,1,243.94
p1_S1_N1.9,180.0,18.59,7.0,1,189.94
p1_N1_S1.9,180.0,17.93,7.0,1,183.74
p1_W_E.26,156.0,22.63,6.0,1,253.57
p1_W_E.27,162.0,15.82,0.0,0,248.42
p1_W_E.28,168.0,10.68,0.0,0,227.56
p1_W_E.29,174.0,9.98,0.0,0,216.44
p1_E_W.12,173.0,16.38,2.0,1,219.37
p1_N2_S2.9,180.0,36.55,25.0,1,210.88
p1_S2_N2.9,180.0,36.13,25.0,1,217.54
p1_E_N1.3,180.0,11.57,0.0,0,222.42
p1_E_W.13,188.0,8.22,0.0,0,206.9
p1_N2_S2.10,200.0,19.84,9.0,1,192.33
p1_S2_N2.10,200.0,15.82,5.0,1,186.09
p1_E_W.14,202.0,6.8,0.0,0,194.31
p1_W_E.30,180.0,19.14,6.0,1,227.05
p1_S1_E.3,183.0,30.7,6.0,2,272.4
p1_N1_S1.10,200.0,37.32,26.0,1,219.09
p1_W_S2.3,183.0,25.9,12.0,1,252.77
p1_S1_N1.10,200.0,36.45,25.0,1,208.22
p1_N1_S1.11,220.0,19.66,8.0,1,195.27
p1_S1_N1.11,220.0,13.61,1.0,1,175.94
p1_S1_N1.12,240.0,8.1,0.0,0,157.36
p1_W_E.31,186.0,20.09,6.0,1,235.21
p1_N2_W.3,183.0,46.5,27.0,2,294.19
p1_W_E.32,192.0,38.12,6.0,1,250.5
p1_W_E.33,198.0,19.55,0.0,0,261.08
p1_E_W.15,216.0,15.25,1.0,1,238.89
p1_W_E.34,204.0,29.54,0.0,0,264.5
p1_W_E.35,210.0,16.42,0.0,0,245.28
p1_N2_S2.11,220.0,37.31,27.0,1,216.49
p1_S2_N2.11,220.0,37.58,27.0,1,215.47
p1_W_E.36,216.0,21.16,0.0,0,248.68
p1_E_W.16,231.0,6.63,0.0,0,200.3
p1_S2_N2.12,240.0,19.98,7.0,1,188.72
p1_N2_S2.12,240.0,17.69,7.0,1,187.81
p1_W_E.37,222.0,24.47,11.0,1,243.3
p1_W_E.38,228.0,23.79,11.0,1,243.19
p1_N1_S1.12,240.0,33.42,21.0,1,215.83
p1_N1_S1.13,260.0,15.2,4.0,1,181.27
p1_S1_N1.13,260.0,15.34,4.0,1,192.92
p1_W_E.39,234.0,16.68,5.0,1,232.63
p1_W_S2.4,243.0,17.53,1.0,1,250.66
p1_W_E.40,240.0,17.65,1.0,1,243.65
