id,depart,timeloss,espera,paradas,co2
p1_N2_S2.0,0.0,6.18,0.0,0,154.64
p1_N1_S1.0,0.0,5.26,0.0,0,147.45
p1_S2_N2.0,0.0,6.08,0.0,0,152.99
p1_S2_N2.1,20.0,5.67,0.0,0,152.5
p1_N1_S1.1,20.0,6.16,0.0,0,150.03
p1_N2_S2.1,20.0,5.81,0.0,0,154.07
p1_S1_N1.0,0.0,20.99,9.0,1,185.3
p1_S1_N1.1,20.0,10.07,0.0,0,163.66
p1_N2_W.0,3.0,15.72,1.0,1,239.61
p1_W_S2.0,3.0,18.21,0.0,0,240.68
p1_W_E.0,0.0,10.58,0.0,0,218.83
p1_W_E.1,6.0,20.17,0.0,0,257.44
p1_E_W.0,0.0,11.09,0.0,0,220.33
p1_E_N1.0,3.0,13.66,0.0,0,227.73
p1_W_E.2,12.0,15.61,0.0,0,254.94
p1_E_W.1,15.0,13.48,0.0,0,212.97
p1_N1_S1.2,40.0,13.4,2.0,1,177.37
p1_S1_N1.2,40.0,12.29,2.0,1,184.53
p1_S1_E.0,3.0,25.51,9.0,1,241.64
p1_W_E.3,18.0,22.85,11.0,1,233.53
p1_E_W.2,29.0,14.13,0.0,0,244.13
p1_W_E.4,24.0,19.81,7.0,1,226.38
p1_W_E.5,30.0,13.97,1.0,1,226.43
p1_W_E.6,36.0,14.07,0.0,0,230.4
p1_E_W.3,44.0,6.57,0.0,0,189.89
p1_N2_S2.2,40.0,39.09,27.0,1,219.2
p1_S1_N1.3,60.0,18.67,7.0,1,184.4
p1_N1_S1.3,60.0,17.23,5.0,1,180.81
p1_S2_N2.2,40.0,35.13,24.0,1,207.34
p1_N2_S2.3,60.0,19.76,6.0,1,186.95
p1_S2_N2.3,60.0,24.17,9.0,1,206.06
p1_S1_N1.4,80.0,5.65,0.0,0,146.29
p1_N1_S1.4,80.0,6.07,0.0,0,151.9
p1_S2_N2.4,80.0,6.06,0.0,0,153.77
p1_W_E.7,42.0,25.92,13.0,1,252.3
p1_E_W.4,58.0,12.49,0.0,0,227.65
p1_W_E.8,48.0,18.46,6.0,1,231.4
p1_W_E.9,54.0,18.61,3.0,1,238.92
p1_W_S2.1,63.0,15.85,0.0,0,249.07
p1_W_E.10,60.0,20.45,0.0,0,244.21
p1_E_N1.1,61.0,9.24,0.0,0,214.52
p1_S1_E.1,63.0,18.8,6.0,1,232.89
p1_N1_S1.5,100.0,9.72,0.0,0,171.9
