id,depart,timeloss,espera,paradas,co2
p1_N2_S2.0,0.0,15.53,4.0,1,188.64
p1_S2_N2.0,0.0,15.34,2.0,1,177.06
p1_N1_S1.0,0.0,18.86,9.0,1,182.67
p1_N1_S1.1,20.0,6.12,0.0,0,144.31
p1_S1_N1.0,0.0,15.06,3.0,1,182.02
p1_S1_N1.1,20.0,5.44,0.0,0,156.02
p1_N2_S2.1,20.0,22.76,11.0,1,195.74
p1_S2_N2.1,20.0,22.4,11.0,1,192.64
p1_W_E.0,0.0,7.59,0.0,0,199.85
p1_E_W.0,0.0,7.83,0.0,0,196.39
p1_N2_S2.2,40.0,6.37,0.0,0,146.81
p1_N2_W.0,3.0,21.92,3.0,1,243.43
p1_S2_N2.2,40.0,5.44,0.0,0,158.0
p1_W_S2.0,3.0,29.83,12.0,1,249.23
p1_W_E.1,6.0,29.95,11.0,1,243.46
p1_N1_S1.2,40.0,16.9,6.0,1,184.55
p1_S1_N1.2,40.0,16.49,6.0,1,186.7
p1_S1_E.0,3.0,30.75,9.0,2,267.9
p1_W_E.2,12.0,29.73,16.0,1,249.17
p1_W_E.3,18.0,24.57,12.0,1,241.79
p1_S1_N1.3,60.0,5.41,0.0,0,149.23
p1_W_E.4,24.0,21.07,7.0,1,240.87
p1_W_E.5,30.0,14.24,2.0,1,223.55
p1_N1_S1.3,60.0,6.03,0.0,0,146.56
p1_W_E.6,36.0,14.36,0.0,0,231.37
p1_W_E.7,42.0,10.0,0.0,0,214.4
p1_E_W.1,15.0,40.76,18.0,2,275.2
p1_S2_N2.3,60.0,18.36,8.0,1,189.63
p1_E_N1.0,3.0,43.34,26.0,2,281.9
p1_E_W.2,29.0,28.73,13.0,1,246.0
p1_N2_S2.3,60.0,16.6,6.0,1,186.88
p1_E_W.3,44.0,15.51,0.0,0,245.77
p1_N2_S2.4,80.0,5.43,0.0,0,153.65
p1_S2_N2.4,80.0,5.92,0.0,0,154.87
p1_E_W.4,58.0,7.71,0.0,0,195.79
p1_S1_E.1,63.0,8.68,0.0,0,208.91
p1_N1_S1.4,80.0,18.47,7.0,1,187.76
p1_S1_N1.4,80.0,18.66,8.0,1,185.75
p1_W_E.8,48.0,26.27,13.0,1,245.62
p1_N1_S1.5,100.0,6.06,0.0,0,148.5
p1_W_E.9,54.0,26.46,11.0,1,242.27
p1_W_E.10,60.0,28.11,8.0,1,263.86
p1_W_S2.1,63.0,24.51,5.0,1,258.45
p1_W_E.11,66.0,17.94,3.0,1,249.83
p1_W_E.12,72.0,17.44,0.0,0,256.49
p1_W_E.13,78.0,15.41,0.0,0,260.23
p1_S1_N1.5,100.0,6.43,0.0,0,144.41
p1_E_N1.1,61.0,32.15,19.0,1,257.73
p1_N2_S2.5,100.0,14.84,4.0,1,180.3
p1_S2_N2.5,100.0,15.94,4.0,1,180.82
p1_N2_S2.6,120.0,5.95,0.0,0,152.95
p1_S2_N2.6,120.0,6.24,0.0,0,152.19
p1_W_E.14,84.0,26.75,12.0,1,259.06
p1_S1_N1.6,120.0,14.67,4.0,1,187.28
p1_N2_W.1,63.0,19.83,3.0,1,233.01
