id,depart,timeloss,espera,paradas,co2
p1_E_S.0,3.0,5.88,0.0,0,161.53
p1_W_N.0,3.0,6.37,0.0,0,165.61
p1_N_W.0,6.0,12.9,2.0,1,175.18
p1_S_E.0,5.0,13.1,1.0,1,183.39
p1_N_S.1,9.0,13.18,0.0,0,189.6
p1_S_N.1,9.0,12.32,0.0,0,184.36
p1_N_S.0,0.0,12.99,3.0,1,180.02
p1_S_N.0,0.0,12.38,2.0,1,178.04
p1_N_S.2,18.0,6.41,0.0,0,144.03
p1_S_N.2,18.0,5.53,0.0,0,151.45
p1_S_W.1,23.0,7.02,0.0,0,168.49
p1_N_E.0,3.0,24.74,13.0,2,199.63
p1_N_E.1,23.0,9.02,0.0,0,168.44
p1_S_W.0,2.0,18.47,7.0,1,176.48
p1_E_N.0,6.0,37.36,26.0,1,219.56
p1_E_W.0,0.0,39.77,27.0,1,215.46
p1_W_S.0,6.0,38.06,26.0,1,215.61
p1_E_W.1,18.0,27.72,16.0,1,196.94
p1_W_E.0,0.0,37.72,27.0,1,219.73
p1_W_E.1,18.0,28.03,15.0,1,206.49
p1_E_W.2,36.0,11.82,0.0,0,185.54
p1_W_E.2,36.0,7.98,0.0,0,163.16
p1_S_N.3,26.0,37.34,26.0,1,212.63
p1_N_S.3,26.0,35.0,24.0,1,214.27
p1_N_S.4,35.0,29.73,19.0,1,206.75
p1_S_N.4,35.0,29.73,18.0,1,204.93
p1_N_S.5,43.0,23.72,12.0,1,186.93
p1_S_N.5,43.0,24.14,11.0,1,194.26
p1_S_N.6,52.0,16.59,4.0,1,189.47
p1_N_S.6,52.0,17.01,3.0,1,192.51
p1_S_N.7,60.0,10.19,0.0,0,179.93
p1_N_S.7,60.0,9.76,0.0,0,167.18
p1_N_W.1,63.0,9.52,0.0,0,172.67
p1_N_E.2,46.0,22.92,10.0,2,199.7
p1_S_W.2,46.0,25.91,13.0,2,200.92
p1_S_E.1,63.0,7.73,0.0,0,162.29
p1_S_W.3,68.0,7.02,0.0,0,172.13
p1_N_E.3,68.0,6.51,0.0,0,161.36
p1_W_E.3,54.0,34.09,22.0,1,215.9
p1_E_W.3,54.0,31.85,20.0,1,209.37
p1_E_W.4,72.0,17.81,6.0,1,191.3
p1_W_E.4,72.0,18.67,6.0,1,186.75
p1_E_S.1,60.0,33.44,19.0,2,212.36
p1_E_W.5,90.0,5.18,0.0,0,147.33
p1_W_N.1,60.0,27.39,12.0,2,207.23
p1_S_N.9,78.0,34.61,23.0,1,214.78
p1_S_N.8,71.0,40.38,28.0,1,230.13
p1_N_S.9,78.0,35.11,23.0,1,207.9
p1_N_S.10,86.0,28.83,15.0,1,208.85
p1_S_N.10,86.0,28.86,17.0,1,201.04
p1_N_S.8,71.0,34.7,25.0,1,206.01
p1_S_N.11,95.0,21.75,9.0,1,190.43
p1_N_S.12,103.0,15.55,3.0,1,187.98
p1_N_S.11,95.0,19.11,7.0,1,183.88
p1_S_N.13,112.0,8.23,0.0,0,165.63
p1_S_W.4,90.0,31.91,17.0,2,217.28
p1_S_N.12,103.0,11.17,0.0,0,174.92
p1_S_W.5,115.0,8.59,0.0,0,174.43
p1_N_E.5,115.0,11.49,0.0,0,181.18
p1_N_E.4,90.0,28.11,16.0,2,201.27
p1_E_W.6,108.0,29.62,19.0,1,205.21
p1_E_N.1,93.0,37.52,28.0,1,208.14
p1_E_W.7,126.0,13.73,2.0,1,173.67
p1_W_E.7,126.0,15.69,3.0,1,186.58
p1_W_E.5,90.0,40.44,27.0,1,214.04
p1_W_S.1,93.0,40.63,26.0,1,219.76
p1_W_E.6,108.0,33.93,19.0,1,215.85
p1_W_N.2,120.0,24.15,9.0,2,205.51
p1_E_S.2,120.0,25.88,12.0,2,206.67
p1_S_E.2,123.0,35.38,21.0,1,216.78
p1_N_S.14,120.0,38.93,26.0,1,216.75
p1_S_N.14,120.0,33.96,23.0,1,211.83
p1_N_W.2,123.0,38.23,25.0,1,215.04
p1_S_N.15,129.0,32.05,19.0,1,206.71
p1_S_N.16,138.0,24.26,11.0,1,193.71
p1_N_S.15,129.0,34.24,22.0,1,218.3
p1_N_S.13,112.0,37.29,26.0,1,208.66
p1_S_N.17,146.0,18.2,5.0,1,185.11
p1_N_S.17,146.0,20.41,7.0,1,195.24
p1_N_S.16,138.0,24.02,10.0,1,192.11
p1_S_N.18,155.0,10.39,0.0,0,167.76
p1_N_S.18,155.0,13.32,0.0,0,176.48
p1_N_E.6,135.0,34.38,21.0,2,211.71
p1_N_S.19,163.0,7.3,0.0,0,157.47
p1_S_W.6,135.0,38.18,24.0,2,224.63
p1_N_E.7,158.0,13.21,1.0,1,181.29
p1_S_W.7,158.0,16.41,6.0,1,182.85
p1_E_W.8,144.0,41.55,32.0,1,222.7
p1_W_E.8,144.0,41.98,31.0,1,225.22
p1_W_E.9,162.0,25.89,13.0,1,201.28
p1_E_W.9,162.0,24.35,14.0,1,198.51
