id,depart,timeloss,espera,paradas,co2
p1_E_W.0,0.0,6.28,0.0,0,148.76
p1_W_N.0,3.0,8.24,0.0,0,169.5
p1_E_N.0,6.0,6.92,0.0,0,162.42
p1_W_E.0,0.0,5.95,0.0,0,149.95
p1_E_S.0,3.0,10.92,0.0,0,179.48
p1_W_S.0,6.0,8.27,0.0,0,166.2
p1_E_W.1,18.0,5.66,0.0,0,143.2
p1_W_E.1,18.0,5.54,0.0,0,148.18
p1_N_W.0,6.0,34.57,24.0,1,205.32
p1_S_E.0,5.0,35.23,23.0,2,220.4
p1_N_S.1,9.0,34.46,22.0,1,219.24
p1_N_S.0,0.0,34.2,25.0,1,211.45
p1_S_N.1,9.0,34.64,21.0,1,223.04
p1_S_N.0,0.0,34.06,24.0,1,210.33
p1_N_S.2,18.0,27.4,14.0,1,201.37
p1_N_S.3,26.0,19.39,8.0,1,193.38
p1_S_N.3,26.0,22.03,9.0,1,194.73
p1_S_N.2,18.0,24.51,13.0,1,197.86
p1_N_S.4,35.0,14.47,1.0,1,182.94
p1_S_N.4,35.0,15.11,1.0,1,183.99
p1_N_S.5,43.0,8.0,0.0,0,165.2
p1_S_N.5,43.0,8.5,0.0,0,170.46
p1_N_E.0,3.0,48.72,36.0,2,237.9
p1_N_S.6,52.0,5.38,0.0,0,156.6
p1_N_E.1,23.0,34.35,19.0,2,212.55
p1_S_W.0,2.0,44.89,30.0,2,231.25
p1_S_W.1,23.0,38.6,20.0,3,220.45
p1_N_E.2,46.0,9.87,0.0,0,174.27
p1_S_W.2,46.0,15.25,1.0,1,177.07
p1_E_W.2,36.0,36.74,23.0,1,215.38
p1_W_E.3,54.0,19.5,8.0,1,187.02
p1_W_E.2,36.0,31.97,22.0,1,206.32
p1_E_W.3,54.0,18.43,7.0,1,180.43
p1_E_W.4,72.0,5.68,0.0,0,150.73
p1_W_E.4,72.0,5.2,0.0,0,160.51
p1_E_S.1,60.0,21.27,6.0,1,192.49
p1_W_N.1,60.0,9.16,0.0,0,161.37
p1_S_N.6,52.0,51.53,42.0,1,240.04
p1_N_S.7,60.0,42.71,32.0,1,229.51
p1_S_N.7,60.0,46.0,33.0,1,230.38
p1_N_W.1,63.0,41.25,30.0,1,217.77
p1_N_S.9,78.0,31.73,18.0,1,200.58
p1_S_N.8,71.0,38.79,26.0,1,212.9
p1_N_S.10,86.0,25.67,12.0,1,192.24
p1_S_E.1,63.0,41.72,30.0,1,221.38
p1_S_N.9,78.0,34.34,22.0,1,206.51
p1_N_S.8,71.0,31.17,21.0,1,206.39
p1_S_N.10,86.0,28.27,15.0,1,204.38
p1_N_S.12,103.0,11.75,0.0,0,177.37
p1_N_S.11,95.0,15.51,3.0,1,182.63
p1_S_N.11,95.0,21.16,6.0,1,187.03
p1_S_N.13,112.0,7.64,0.0,0,167.57
p1_S_W.3,68.0,48.73,33.0,2,228.77
p1_S_W.4,90.0,30.62,16.0,2,212.5
p1_S_N.12,103.0,10.92,0.0,0,168.59
p1_S_W.5,115.0,7.94,0.0,0,170.2
p1_N_E.3,68.0,52.02,39.0,2,241.65
p1_N_E.5,115.0,13.05,1.0,1,179.09
p1_N_E.4,90.0,29.81,17.0,2,211.27
p1_E_W.5,90.0,45.72,35.0,1,227.08
p1_E_W.6,108.0,31.98,20.0,1,211.94
p1_W_E.5,90.0,40.19,30.0,1,209.4
p1_W_E.7,126.0,15.49,3.0,1,179.46
p1_E_N.1,93.0,40.1,29.0,1,214.71
p1_W_S.1,93.0,40.81,28.0,1,219.62
p1_E_W.7,126.0,15.86,3.0,1,187.8
p1_W_E.6,108.0,33.57,17.0,1,209.37
p1_E_S.2,120.0,24.16,9.0,2,206.81
p1_W_N.2,120.0,25.54,10.0,2,196.29
p1_E_W.8,144.0,5.69,0.0,0,150.25
p1_W_E.8,144.0,6.39,0.0,0,155.86
p1_N_S.14,120.0,49.37,36.0,1,232.48
p1_S_E.2,123.0,46.74,32.0,1,222.39
p1_S_N.14,120.0,45.24,33.0,1,224.78
p1_N_W.2,123.0,49.29,36.0,1,231.08
p1_S_N.15,129.0,43.31,31.0,1,226.12
p1_N_S.15,129.0,45.17,32.0,1,222.41
p1_S_N.16,138.0,36.3,23.0,1,218.47
p1_N_S.13,112.0,48.71,37.0,1,222.92
p1_S_N.17,146.0,30.05,18.0,1,198.28
p1_N_S.16,138.0,35.28,23.0,1,209.96
p1_N_S.17,146.0,31.85,18.0,1,210.39
p1_S_N.18,155.0,21.94,10.0,1,192.13
p1_N_S.18,155.0,24.64,11.0,1,197.83
p1_N_S.19,163.0,18.42,4.0,1,188.43
p1_S_N.20,172.0,9.96,0.0,0,174.93
p1_N_S.20,172.0,10.35,0.0,0,170.8
p1_S_N.19,163.0,11.78,0.0,0,174.63
p1_N_S.21,180.0,5.41,0.0,0,152.16
p1_S_N.21,180.0,5.31,0.0,0,153.41
p1_N_E.6,135.0,52.5,39.0,2,250.43
p1_S_W.6,135.0,54.59,41.0,2,248.4
p1_N_E.7,158.0,30.77,17.0,2,203.61
p1_S_W.7,158.0,32.27,18.0,1,208.72
p1_N_E.8,183.0,8.43,0.0,0,178.8
p1_S_W.8,183.0,8.77,0.0,0,169.85
p1_W_E.9,162.0,37.99,26.0,1,219.4
p1_E_W.9,162.0,36.26,27.0,1,216.76
p1_W_E.10,180.0,21.93,10.0,1,195.36
p1_E_N.2,186.0,17.93,1.0,1,182.44
p1_W_S.2,186.0,16.88,4.0,1,177.36
p1_W_E.11,198.0,9.27,0.0,0,168.51
p1_E_W.10,180.0,13.79,4.0,1,174.89
p1_E_S.3,183.0,26.65,13.0,2,210.24
p1_W_N.3,183.0,16.59,1.0,1,185.73
p1_E_W.11,198.0,6.43,0.0,0,150.44
p1_S_E.3,186.0,45.02,34.0,1,225.57
p1_N_S.22,189.0,44.08,29.0,1,219.49
p1_N_W.3,186.0,42.0,31.0,1,219.58
p1_S_N.22,189.0,41.46,32.0,1,216.85
p1_N_S.23,198.0,36.91,26.0,1,219.61
p1_S_N.23,198.0,37.55,25.0,1,210.9
p1_S_N.24,206.0,31.09,19.0,1,210.5
p1_N_S.25,215.0,24.93,11.0,1,202.73
p1_S_N.25,215.0,22.8,11.0,1,201.71
p1_S_N.26,223.0,17.12,4.0,1,192.51
p1_S_N.27,232.0,10.88,0.0,0,178.88
p1_N_S.24,206.0,25.99,13.0,1,189.38
p1_N_S.27,232.0,10.03,0.0,0,165.15
p1_N_S.26,223.0,17.32,4.0,1,180.59
p1_N_E.9,203.0,43.45,29.0,2,226.87
p1_N_S.28,240.0,7.27,0.0,0,154.93
p1_S_W.9,203.0,45.92,31.0,2,237.63
