id,depart,timeloss,espera,paradas,co2
p1_N_E.0,3.0,6.54,0.0,0,163.63
p1_E_N.0,6.0,17.17,6.0,1,189.88
p1_E_W.0,0.0,19.66,7.0,1,187.8
p1_W_S.0,6.0,17.78,6.0,1,188.07
p1_S_W.0,2.0,8.97,0.0,0,159.32
p1_W_E.0,0.0,17.67,7.0,1,186.99
p1_E_W.1,18.0,7.85,0.0,0,160.32
p1_W_E.1,18.0,8.23,0.0,0,166.62
p1_W_N.0,3.0,25.87,11.0,2,199.96
p1_E_S.0,3.0,26.98,12.0,2,198.96
p1_N_W.0,6.0,37.35,27.0,1,212.99
p1_S_E.0,5.0,38.45,26.0,2,221.8
p1_N_S.1,9.0,37.11,25.0,1,224.84
p1_N_S.0,0.0,37.56,28.0,1,218.01
p1_S_N.1,9.0,37.52,24.0,1,226.37
p1_N_S.2,18.0,30.28,17.0,1,207.61
p1_S_N.0,0.0,37.53,27.0,1,215.8
p1_S_W.1,23.0,28.25,14.0,2,207.16
p1_S_N.3,26.0,24.84,12.0,1,201.32
p1_S_N.2,18.0,27.58,16.0,1,200.15
p1_N_E.1,23.0,29.75,15.0,2,208.58
p1_S_W.2,46.0,6.69,0.0,0,161.88
p1_N_E.2,46.0,7.24,0.0,0,170.97
p1_E_W.2,36.0,27.75,18.0,1,202.9
p1_W_E.3,54.0,11.33,0.0,0,180.89
p1_W_E.2,36.0,24.0,12.0,1,189.78
p1_E_W.3,54.0,9.36,0.0,0,167.84
p1_E_S.1,60.0,7.66,0.0,0,171.16
p1_S_N.4,35.0,49.48,31.0,2,245.47
p1_N_S.3,26.0,57.23,41.0,2,249.42
p1_N_S.4,35.0,52.11,34.0,2,241.65
p1_S_N.5,43.0,44.0,25.0,1,229.23
p1_N_S.5,43.0,45.42,28.0,1,228.47
p1_N_S.6,52.0,38.56,27.0,1,224.26
p1_S_N.7,60.0,30.55,18.0,1,208.98
p1_S_N.6,52.0,40.18,23.0,1,230.95
p1_W_N.1,60.0,8.47,0.0,0,172.13
p1_N_S.7,60.0,31.16,19.0,1,210.28
p1_S_E.1,63.0,27.13,14.0,1,201.03
p1_N_E.3,68.0,22.71,7.0,2,193.82
p1_S_W.3,68.0,25.92,11.0,2,205.52
p1_S_W.4,90.0,7.66,0.0,0,157.1
p1_E_W.4,72.0,33.88,21.0,1,212.2
p1_W_E.4,72.0,34.26,22.0,1,208.42
p1_N_E.4,90.0,6.63,0.0,0,161.52
p1_E_W.5,90.0,18.08,6.0,1,181.27
p1_W_E.5,90.0,12.42,2.0,1,172.9
p1_E_N.1,93.0,12.48,0.0,0,173.65
p1_W_S.1,93.0,14.04,0.0,0,181.93
p1_N_W.1,63.0,61.84,46.0,2,262.97
p1_S_N.8,71.0,54.81,36.0,2,242.58
p1_S_N.9,78.0,51.18,32.0,2,237.25
p1_N_S.9,78.0,52.92,33.0,2,253.6
p1_S_N.10,86.0,44.91,26.0,1,233.1
p1_N_S.10,86.0,46.57,25.0,1,240.02
p1_S_N.11,95.0,37.56,23.0,1,218.72
p1_N_S.8,71.0,52.71,35.0,2,245.12
p1_N_S.11,95.0,36.84,24.0,1,214.97
p1_N_E.5,115.0,22.6,9.0,2,198.92
p1_S_W.5,115.0,22.65,7.0,1,199.61
p1_S_N.12,103.0,27.35,15.0,1,193.24
p1_N_E.6,135.0,6.26,0.0,0,161.23
p1_S_W.6,135.0,6.74,0.0,0,166.42
p1_E_W.6,108.0,39.99,27.0,1,225.55
p1_W_E.6,108.0,38.52,27.0,1,210.89
p1_E_W.7,126.0,23.95,13.0,1,193.32
p1_W_E.7,126.0,23.91,12.0,1,201.11
p1_E_W.8,144.0,7.72,0.0,0,163.93
p1_W_E.8,144.0,7.72,0.0,0,168.66
p1_E_S.2,120.0,34.48,19.0,2,215.41
p1_W_N.2,120.0,35.19,21.0,2,209.45
p1_N_S.12,103.0,65.42,47.0,2,261.04
p1_S_N.13,112.0,56.28,40.0,2,255.93
p1_N_S.14,120.0,52.64,32.0,2,248.2
p1_S_N.14,120.0,48.35,30.0,2,234.86
p1_S_E.2,123.0,50.22,28.0,2,240.05
p1_N_W.2,123.0,52.54,29.0,2,244.28
p1_S_N.15,129.0,46.59,25.0,1,242.63
p1_N_S.13,112.0,51.24,35.0,2,239.99
p1_S_W.7,158.0,17.86,6.0,1,188.21
p1_N_E.7,158.0,18.65,7.0,1,188.93
p1_W_E.9,162.0,28.09,17.0,1,198.12
p1_E_W.9,162.0,26.6,16.0,1,206.67
p1_W_E.10,180.0,11.91,0.0,0,174.28
p1_E_S.3,183.0,12.52,2.0,1,183.27
p1_W_S.2,186.0,8.13,0.0,0,161.55
p1_E_N.2,186.0,11.24,0.0,0,173.78
p1_E_W.10,180.0,7.26,0.0,0,166.8
p1_W_N.3,183.0,10.35,0.0,0,169.73
p1_N_S.15,129.0,81.51,55.0,3,290.97
p1_S_N.16,138.0,72.97,53.0,2,275.88
p1_S_N.17,146.0,67.1,49.0,2,261.76
p1_N_S.17,146.0,68.22,48.0,2,268.49
p1_N_S.16,138.0,72.19,51.0,2,263.21
p1_S_N.18,155.0,58.94,40.0,2,252.01
p1_N_S.18,155.0,61.17,41.0,2,255.5
p1_N_S.19,163.0,54.96,34.0,2,238.19
p1_S_N.20,172.0,47.05,28.0,1,231.19
p1_N_S.20,172.0,47.14,26.0,1,228.6
p1_S_N.21,180.0,40.89,25.0,1,226.81
p1_S_N.19,163.0,48.73,29.0,2,231.75
p1_N_S.21,180.0,41.94,27.0,1,222.47
p1_S_E.3,186.0,37.96,23.0,1,220.65
p1_N_E.8,183.0,41.05,26.0,2,221.37
p1_S_W.8,183.0,40.64,28.0,2,223.23
p1_N_E.9,203.0,23.47,9.0,1,206.52
p1_S_W.9,203.0,24.51,11.0,1,197.8
p1_W_E.11,198.0,38.64,28.0,1,219.34
p1_W_E.12,216.0,22.56,11.0,1,195.26
p1_E_W.12,216.0,23.0,12.0,1,191.09
p1_E_W.11,198.0,35.61,24.0,1,206.49
p1_E_W.13,234.0,6.08,0.0,0,147.47
p1_W_E.13,234.0,5.71,0.0,0,154.58
p1_W_N.4,240.0,6.69,0.0,0,162.17
p1_E_S.4,240.0,6.68,0.0,0,162.51
p1_N_W.3,186.0,68.44,52.0,2,272.8
p1_N_S.22,189.0,70.97,51.0,2,276.55
p1_S_N.22,189.0,66.09,48.0,2,267.55
p1_S_N.23,198.0,62.01,41.0,2,266.61
p1_N_S.23,198.0,63.94,44.0,2,263.37
p1_S_N.24,206.0,55.53,34.0,2,248.09
p1_S_N.25,215.0,47.7,26.0,1,235.49
p1_N_S.25,215.0,51.01,29.0,2,248.33
p1_S_N.26,223.0,42.05,25.0,1,212.89
p1_S_N.27,232.0,36.04,22.0,1,215.97
p1_N_S.24,206.0,51.72,31.0,2,246.46
p1_N_S.26,223.0,43.01,26.0,1,227.51
p1_N_S.27,232.0,36.34,22.0,1,212.22
p1_S_W.10,226.0,47.37,31.0,2,234.75
p1_N_E.10,226.0,47.64,33.0,2,237.21
p1_S_N.28,240.0,26.72,13.0,1,193.4
p1_S_W.11,248.0,27.06,10.0,1,204.31
p1_N_E.11,248.0,27.65,13.0,2,209.23
p1_N_E.12,270.0,7.63,0.0,0,171.69
p1_E_W.14,252.0,31.07,21.0,1,204.82
p1_W_E.14,252.0,29.55,18.0,1,205.85
p1_W_E.15,270.0,16.13,3.0,1,187.37
p1_E_W.15,270.0,13.98,3.0,1,180.2
p1_E_N.3,273.0,12.72,0.0,0,170.66
p1_W_S.3,273.0,11.08,0.0,0,175.33
p1_N_S.28,240.0,65.39,47.0,2,270.64
p1_S_E.4,243.0,59.34,38.0,2,269.11
p1_S_N.29,251.0,55.24,36.0,2,252.72
p1_N_W.4,243.0,63.67,45.0,2,258.5
p1_N_S.29,251.0,58.11,38.0,2,264.42
p1_S_N.30,258.0,50.88,29.0,2,251.28
p1_N_S.30,258.0,52.93,32.0,2,253.45
p1_S_N.31,266.0,44.9,25.0,1,237.19
p1_N_S.31,266.0,46.76,26.0,2,243.32
