id,depart,timeloss,espera,paradas,co2
p1_E_W.0,0.0,13.62,2.0,1,187.91
p1_W_E.0,0.0,13.25,2.0,1,177.35
p1_E_N.0,3.0,11.15,0.0,0,170.72
p1_W_S.0,3.0,9.62,0.0,0,173.81
p1_N_S.0,0.0,22.11,11.0,1,188.98
p1_N_W.0,3.0,24.18,11.0,1,196.62
p1_S_N.0,0.0,21.97,11.0,1,185.19
p1_N_S.1,6.0,27.97,10.0,1,213.39
p1_S_N.1,6.0,29.02,8.0,1,207.71
p1_N_S.2,12.0,23.6,9.0,1,207.03
p1_S_N.2,12.0,24.64,7.0,1,202.19
p1_N_S.3,17.0,20.36,5.0,1,201.53
p1_S_E.0,3.0,20.33,9.0,1,187.94
p1_S_N.3,17.0,20.79,4.0,1,205.67
p1_N_S.4,23.0,16.07,3.0,1,201.01
p1_S_N.4,23.0,11.49,0.0,0,168.28
p1_N_S.5,28.0,12.58,0.0,0,193.55
p1_S_N.5,28.0,15.02,0.0,0,184.34
p1_N_S.6,34.0,6.13,0.0,0,148.5
p1_S_N.6,34.0,10.78,0.0,0,178.25
p1_N_S.7,39.0,6.11,0.0,0,160.25
p1_S_N.7,39.0,6.71,0.0,0,167.21
p1_W_E.1,24.0,28.4,18.0,1,203.35
p1_E_W.1,24.0,29.21,18.0,1,204.65
p1_W_E.2,48.0,5.45,0.0,0,154.58
p1_E_W.2,48.0,5.96,0.0,0,155.55
p1_N_S.8,45.0,20.61,9.0,1,194.65
p1_S_E.1,48.0,19.12,5.0,1,194.41
p1_N_W.1,48.0,19.55,8.0,1,193.41
p1_S_N.8,45.0,16.89,6.0,1,182.16
p1_N_S.9,51.0,18.72,6.0,1,191.69
p1_S_N.9,51.0,20.14,5.0,1,189.92
p1_S_N.10,56.0,16.05,2.0,1,198.33
p1_N_S.10,56.0,13.69,2.0,1,176.66
p1_S_N.11,61.0,13.67,0.0,0,198.05
p1_N_S.11,61.0,12.4,0.0,0,188.47
p1_N_S.12,67.0,8.23,0.0,0,165.45
p1_N_S.13,72.0,7.26,0.0,0,151.74
p1_S_N.12,67.0,6.66,0.0,0,152.06
p1_E_W.3,72.0,10.34,0.0,0,176.44
p1_W_E.3,72.0,12.81,0.0,0,183.26
p1_N_S.14,78.0,15.32,3.0,1,173.01
p1_N_W.2,92.0,13.04,0.0,0,182.74
p1_N_S.15,84.0,21.99,3.0,1,205.9
p1_N_S.16,89.0,18.74,0.0,0,206.34
p1_S_E.2,91.0,16.06,0.0,0,186.42
p1_N_S.17,95.0,14.38,0.0,0,199.66
p1_S_N.13,72.0,16.08,2.0,1,182.13
p1_N_S.18,100.0,6.3,0.0,0,155.97
p1_S_N.14,78.0,33.26,2.0,1,193.2
p1_N_S.19,106.0,7.45,0.0,0,161.26
p1_S_N.15,84.0,30.56,2.0,1,202.37
p1_S_N.16,89.0,27.44,1.0,1,203.51
p1_N_S.20,111.0,5.73,0.0,0,152.25
p1_S_N.17,95.0,11.95,0.0,0,183.46
p1_S_N.18,100.0,20.02,0.0,0,194.56
p1_S_N.19,106.0,6.86,0.0,0,158.92
p1_S_N.20,111.0,11.13,0.0,0,155.33
p1_W_S.1,90.0,35.75,24.0,1,208.69
p1_E_N.1,90.0,29.52,19.0,1,196.96
p1_E_W.4,96.0,26.37,16.0,1,197.61
p1_W_E.4,96.0,28.07,16.0,1,196.69
p1_E_W.5,120.0,13.17,0.0,0,180.45
p1_W_E.5,120.0,14.04,0.0,0,181.64
p1_S_N.21,117.0,21.73,10.0,1,192.38
p1_S_N.22,122.0,16.23,3.0,1,183.92
p1_S_N.23,128.0,17.23,1.0,1,196.09
p1_N_S.21,117.0,14.25,3.0,1,177.95
p1_S_N.24,133.0,13.94,0.0,0,184.22
p1_S_E.3,136.0,10.91,0.0,0,172.67
p1_N_S.22,122.0,26.22,2.0,1,201.47
p1_N_W.3,136.0,11.54,0.0,0,174.04
p1_S_N.25,139.0,10.02,0.0,0,172.69
p1_N_S.23,128.0,21.93,2.0,1,202.63
