id,depart,timeloss,espera,paradas,co2
p1_E_W.0,0.0,6.66,0.0,0,160.14
p1_W_E.0,0.0,6.2,0.0,0,152.98
p1_E_N.0,3.0,7.72,0.0,0,164.92
p1_W_S.0,3.0,7.39,0.0,0,169.2
p1_N_S.0,0.0,26.18,15.0,1,191.43
p1_N_W.0,3.0,29.06,15.0,1,199.85
p1_S_N.0,0.0,26.01,15.0,1,190.91
p1_N_S.1,6.0,31.97,14.0,1,215.8
p1_S_N.1,6.0,33.21,12.0,1,221.95
p1_N_S.2,12.0,27.72,13.0,1,205.32
p1_S_N.2,12.0,28.77,11.0,1,205.17
p1_N_S.3,17.0,24.49,9.0,1,206.79
p1_S_E.0,3.0,25.1,13.0,1,195.93
p1_S_N.3,17.0,24.97,8.0,1,207.72
p1_N_S.4,23.0,20.11,7.0,1,197.27
p1_N_S.5,28.0,16.53,2.0,1,197.73
p1_S_N.4,23.0,16.81,3.0,1,171.37
p1_N_S.6,34.0,9.93,0.0,0,165.38
p1_S_N.5,28.0,20.14,2.0,1,199.41
p1_N_S.7,39.0,9.76,0.0,0,172.32
p1_S_N.6,34.0,15.95,0.0,0,202.48
p1_N_S.8,45.0,5.59,0.0,0,150.01
p1_S_N.7,39.0,11.87,0.0,0,193.79
p1_N_W.1,48.0,7.11,0.0,0,163.41
p1_S_N.8,45.0,5.93,0.0,0,146.21
p1_E_W.1,24.0,35.65,25.0,1,222.88
p1_W_E.1,24.0,35.03,24.0,1,219.7
p1_W_E.2,48.0,11.19,0.0,0,178.81
p1_E_W.2,48.0,9.71,0.0,0,169.22
p1_W_E.3,72.0,6.57,0.0,0,158.52
p1_E_W.3,72.0,6.49,0.0,0,144.35
p1_S_E.1,48.0,38.62,26.0,1,214.93
p1_N_S.9,51.0,37.12,24.0,1,215.06
p1_S_N.9,51.0,38.06,25.0,1,217.42
p1_S_N.10,56.0,34.79,22.0,1,211.29
p1_N_S.10,56.0,31.82,19.0,1,206.76
p1_S_N.11,61.0,32.44,21.0,1,210.93
p1_N_S.11,61.0,30.54,16.0,1,207.49
p1_N_S.12,67.0,26.39,13.0,1,202.96
p1_N_S.13,72.0,25.35,12.0,1,211.82
p1_S_N.12,67.0,24.65,13.0,1,188.44
p1_N_S.14,78.0,14.41,3.0,1,176.81
p1_N_W.2,92.0,11.7,0.0,0,186.84
p1_N_S.15,84.0,20.98,1.0,1,187.34
p1_S_E.2,92.0,13.63,0.0,0,187.56
p1_N_S.16,89.0,17.86,0.0,0,185.56
p1_N_S.17,95.0,13.56,0.0,0,192.04
p1_S_N.13,72.0,14.8,3.0,1,182.15
p1_S_N.14,78.0,32.23,3.0,1,194.36
p1_N_S.18,100.0,6.5,0.0,0,152.71
p1_S_N.15,84.0,29.52,1.0,1,202.65
p1_W_S.1,90.0,24.72,13.0,1,195.73
p1_S_N.16,89.0,26.29,0.0,0,209.98
p1_S_N.17,95.0,11.02,0.0,0,163.87
p1_S_N.18,100.0,19.05,0.0,0,188.24
p1_E_N.1,90.0,20.32,9.0,1,193.33
p1_W_E.4,96.0,17.18,5.0,1,169.05
p1_E_W.4,96.0,16.94,6.0,1,183.19
p1_E_W.5,120.0,5.94,0.0,0,147.95
p1_W_E.5,120.0,5.84,0.0,0,150.92
p1_N_S.19,106.0,37.84,26.0,1,219.83
p1_N_S.20,111.0,34.72,23.0,1,212.6
p1_S_N.19,106.0,33.03,22.0,1,205.45
p1_S_N.20,111.0,37.26,21.0,1,211.65
p1_S_N.21,117.0,34.59,17.0,1,221.17
