id,depart,timeloss,espera,paradas,co2
p1_N_S.0,0.0,6.72,0.0,0,155.23
p1_N_W.0,3.0,10.14,0.0,0,170.17
p1_N_S.1,6.0,12.55,0.0,0,177.41
p1_S_N.0,0.0,7.52,0.0,0,156.18
p1_S_N.1,6.0,14.66,0.0,0,182.14
p1_N_S.2,12.0,8.22,0.0,0,171.28
p1_S_N.2,12.0,10.27,0.0,0,176.03
p1_N_S.3,17.0,5.36,0.0,0,146.41
p1_S_N.3,17.0,6.39,0.0,0,154.0
p1_S_E.0,3.0,8.03,0.0,0,165.48
p1_E_W.0,0.0,28.35,17.0,1,201.08
p1_W_E.0,0.0,28.37,17.0,1,202.22
p1_E_W.1,24.0,9.62,0.0,0,175.87
p1_E_N.0,3.0,26.48,13.0,1,196.15
p1_W_E.1,24.0,10.43,0.0,0,177.48
p1_W_S.0,3.0,24.53,12.0,1,193.85
p1_N_S.4,23.0,19.33,9.0,1,182.85
p1_N_S.5,28.0,16.01,5.0,1,184.78
p1_S_N.4,23.0,16.26,4.0,1,175.84
p1_S_N.5,28.0,19.7,4.0,1,198.14
p1_N_S.6,34.0,10.84,0.0,0,172.34
p1_S_N.6,34.0,15.45,1.0,1,187.41
p1_N_S.7,39.0,10.76,0.0,0,181.15
p1_S_N.7,39.0,11.39,0.0,0,184.37
p1_N_S.8,45.0,6.57,0.0,0,162.74
p1_N_W.1,48.0,7.83,0.0,0,169.92
p1_S_E.1,48.0,9.42,0.0,0,168.97
p1_N_S.9,51.0,6.47,0.0,0,155.13
p1_S_N.8,45.0,6.54,0.0,0,157.88
p1_S_N.9,51.0,9.66,0.0,0,176.5
p1_S_N.10,56.0,6.01,0.0,0,153.33
p1_N_S.10,56.0,6.03,0.0,0,147.7
p1_S_N.11,61.0,6.83,0.0,0,155.32
p1_N_S.11,61.0,6.12,0.0,0,146.57
p1_N_S.12,67.0,5.83,0.0,0,158.83
p1_N_S.13,72.0,5.38,0.0,0,149.55
p1_S_N.12,67.0,6.14,0.0,0,149.22
p1_N_S.14,78.0,6.72,0.0,0,148.76
p1_W_E.2,48.0,45.59,34.0,1,230.88
p1_E_W.2,48.0,44.46,34.0,1,223.34
p1_W_E.3,72.0,24.74,12.0,1,201.71
p1_W_S.1,90.0,9.89,0.0,0,173.96
p1_E_W.3,72.0,23.94,10.0,1,194.51
p1_S_N.13,72.0,7.34,0.0,0,156.49
p1_N_S.15,84.0,24.17,13.0,1,192.92
p1_E_N.1,90.0,8.19,0.0,0,163.49
p1_S_N.14,78.0,31.27,11.0,1,197.86
p1_N_S.16,89.0,21.72,8.0,1,188.28
p1_S_N.15,84.0,28.51,11.0,1,208.43
p1_N_W.2,92.0,20.84,7.0,1,191.87
p1_S_N.16,89.0,25.21,11.0,1,203.24
p1_N_S.17,95.0,19.41,6.0,1,189.11
p1_S_E.2,92.0,23.01,9.0,1,188.71
p1_N_S.18,100.0,13.7,2.0,1,185.87
p1_N_S.19,106.0,14.83,0.0,0,193.16
p1_N_S.20,111.0,11.53,0.0,0,186.2
p1_S_N.17,95.0,16.92,5.0,1,179.54
p1_S_N.18,100.0,25.04,4.0,1,189.49
p1_S_N.19,106.0,11.76,0.0,0,176.2
p1_S_N.20,111.0,16.01,0.0,0,193.99
p1_S_N.21,117.0,13.43,0.0,0,185.85
p1_S_N.22,122.0,6.03,0.0,0,147.55
p1_S_N.23,128.0,7.02,0.0,0,155.18
p1_N_S.21,117.0,6.77,0.0,0,152.99
p1_S_N.24,133.0,6.27,0.0,0,153.91
p1_N_S.22,122.0,18.77,0.0,0,172.15
p1_N_S.23,128.0,14.58,0.0,0,182.05
p1_S_E.3,136.0,6.96,0.0,0,163.61
p1_N_S.24,133.0,11.32,0.0,0,176.69
p1_W_E.4,96.0,46.49,35.0,1,226.48
p1_E_W.4,96.0,45.79,36.0,1,225.33
p1_E_W.5,120.0,32.68,17.0,1,210.83
p1_W_E.5,120.0,32.48,17.0,1,212.07
p1_W_E.6,144.0,10.12,0.0,0,170.52
p1_E_W.6,144.0,6.48,0.0,0,152.1
p1_N_W.3,136.0,23.33,13.0,1,198.07
p1_S_N.25,139.0,20.42,9.0,1,188.33
p1_N_S.25,139.0,22.76,11.0,1,196.34
p1_S_N.26,144.0,17.21,6.0,1,187.92
p1_N_S.26,144.0,19.74,7.0,1,183.82
p1_S_N.27,150.0,13.25,1.0,1,185.35
p1_S_N.28,156.0,9.11,0.0,0,164.03
p1_N_S.27,150.0,15.86,2.0,1,191.91
p1_N_S.28,156.0,11.75,0.0,0,180.61
p1_S_N.29,161.0,5.75,0.0,0,148.71
p1_N_S.29,161.0,8.6,0.0,0,168.05
p1_S_N.30,167.0,5.84,0.0,0,145.12
p1_N_S.30,167.0,6.2,0.0,0,138.32
p1_N_S.31,172.0,5.48,0.0,0,154.83
p1_N_S.32,178.0,5.44,0.0,0,145.5
p1_S_N.31,172.0,6.57,0.0,0,146.77
p1_N_W.4,181.0,7.98,0.0,0,166.59
p1_S_E.4,181.0,7.35,0.0,0,169.98
p1_S_N.32,178.0,13.06,0.0,0,182.58
p1_S_N.33,184.0,8.7,0.0,0,167.55
p1_W_E.7,168.0,29.77,18.0,1,200.16
p1_E_W.7,168.0,28.02,16.0,1,196.81
p1_E_N.2,180.0,18.37,8.0,1,188.41
p1_E_W.8,192.0,9.12,0.0,0,165.63
p1_W_S.2,180.0,18.12,6.0,1,182.17
p1_W_E.8,192.0,6.04,0.0,0,149.85
p1_S_N.34,189.0,21.85,9.0,1,196.77
p1_N_S.33,184.0,23.57,13.0,1,191.73
p1_S_N.35,194.0,17.39,6.0,1,185.13
p1_S_N.36,200.0,11.77,1.0,1,166.84
p1_S_N.37,205.0,13.21,0.0,0,191.5
p1_S_N.38,211.0,8.92,0.0,0,172.62
p1_N_S.34,189.0,15.92,4.0,1,171.44
p1_N_S.35,194.0,28.71,1.0,1,192.29
p1_S_N.39,216.0,5.87,0.0,0,154.73
p1_N_S.36,200.0,24.44,1.0,1,197.46
p1_N_S.37,205.0,21.22,0.0,0,205.52
p1_N_S.38,211.0,10.71,0.0,0,171.25
p1_N_S.39,216.0,14.01,0.0,0,184.31
p1_S_N.40,222.0,5.83,0.0,0,154.17
p1_N_S.40,222.0,9.83,0.0,0,173.57
p1_S_E.5,225.0,7.5,0.0,0,159.79
p1_N_W.5,225.0,7.5,0.0,0,168.99
p1_S_N.41,228.0,5.93,0.0,0,149.75
p1_N_S.41,228.0,5.74,0.0,0,152.43
p1_W_E.9,216.0,27.63,17.0,1,205.34
p1_E_W.9,216.0,21.38,10.0,1,189.87
p1_E_W.10,240.0,9.4,0.0,0,169.86
p1_W_E.10,240.0,5.6,0.0,0,153.46
p1_N_S.42,233.0,23.59,14.0,1,196.27
p1_S_N.42,233.0,23.63,12.0,1,199.86
p1_S_N.43,239.0,19.44,9.0,1,190.32
p1_N_S.43,239.0,17.75,8.0,1,186.09
p1_N_S.44,244.0,18.0,4.0,1,193.46
p1_N_S.45,250.0,12.4,0.0,0,192.14
p1_S_N.44,244.0,13.27,1.0,1,172.61
p1_S_N.45,250.0,12.1,0.0,0,183.5
p1_N_S.46,255.0,6.48,0.0,0,145.93
p1_S_N.46,255.0,11.3,0.0,0,182.94
p1_N_S.47,261.0,8.76,0.0,0,157.04
p1_S_N.47,261.0,8.85,0.0,0,169.43
p1_N_S.48,266.0,6.11,0.0,0,143.7
p1_N_W.6,270.0,6.63,0.0,0,164.15
p1_S_N.48,266.0,6.33,0.0,0,147.75
p1_S_E.6,270.0,8.05,0.0,0,166.43
p1_N_S.49,273.0,6.04,0.0,0,146.54
p1_N_S.50,277.0,6.28,0.0,0,157.27
p1_E_W.11,264.0,25.24,14.0,1,200.55
p1_W_E.11,264.0,25.49,13.0,1,198.21
p1_E_N.3,270.0,20.33,9.0,1,193.25
p1_W_S.3,270.0,21.47,10.0,1,189.0
p1_W_E.12,288.0,5.88,0.0,0,148.97
p1_N_S.51,283.0,16.33,6.0,1,178.81
p1_N_S.52,288.0,19.31,6.0,1,199.72
p1_S_N.49,273.0,23.33,12.0,1,186.56
p1_N_S.53,294.0,11.17,0.0,0,180.72
p1_S_N.50,277.0,34.23,11.0,1,217.22
p1_N_S.54,300.0,11.17,0.0,0,186.13
p1_S_N.51,283.0,19.87,8.0,1,187.35
p1_N_S.55,305.0,7.93,0.0,0,169.36
p1_S_N.52,288.0,25.76,6.0,1,201.84
p1_S_N.53,294.0,18.57,2.0,1,181.86
p1_N_S.56,311.0,5.68,0.0,0,152.95
p1_S_N.54,300.0,13.65,0.0,0,180.82
p1_S_N.55,305.0,15.3,0.0,0,197.2
p1_S_N.56,311.0,11.03,0.0,0,176.11
p1_S_E.7,315.0,8.28,0.0,0,167.58
p1_N_W.7,315.0,7.52,0.0,0,163.15
p1_N_S.57,318.0,7.1,0.0,0,165.92
p1_S_N.57,318.0,6.82,0.0,0,171.54
p1_S_N.58,322.0,5.87,0.0,0,149.28
p1_N_S.58,322.0,6.29,0.0,0,145.98
p1_S_N.59,327.0,5.92,0.0,0,148.29
p1_N_S.59,327.0,9.82,0.0,0,161.59
p1_W_E.13,312.0,26.91,15.0,1,201.48
p1_E_W.12,288.0,48.28,38.0,1,233.07
p1_W_E.14,336.0,7.97,0.0,0,156.28
p1_E_W.13,312.0,28.7,18.0,1,202.2
p1_E_W.14,336.0,12.02,0.0,0,180.46
p1_N_S.60,333.0,20.33,8.0,1,192.81
p1_S_N.60,333.0,17.8,9.0,1,185.58
p1_N_S.61,338.0,18.2,7.0,1,194.68
p1_S_N.61,338.0,19.19,5.0,1,193.47
p1_N_S.62,344.0,13.94,1.0,1,184.9
p1_S_N.62,344.0,11.28,0.0,0,177.43
p1_N_S.63,349.0,8.4,0.0,0,176.88
p1_N_S.64,355.0,5.62,0.0,0,154.54
p1_N_S.65,360.0,7.71,0.0,0,154.93
p1_S_N.63,349.0,6.27,0.0,0,149.56
p1_S_N.64,355.0,11.26,0.0,0,172.22
p1_N_W.8,363.0,8.09,0.0,0,173.02
p1_S_N.65,360.0,12.86,0.0,0,182.14
p1_N_S.66,366.0,7.34,0.0,0,162.06
p1_N_S.67,372.0,5.31,0.0,0,148.89
p1_S_N.66,366.0,12.7,0.0,0,179.22
p1_S_E.8,363.0,8.07,0.0,0,163.51
p1_W_E.15,360.0,25.02,14.0,1,196.43
p1_W_S.4,363.0,25.15,13.0,1,195.69
p1_E_W.15,360.0,23.95,14.0,1,191.12
p1_W_E.16,384.0,6.16,0.0,0,151.12
p1_E_N.4,363.0,24.09,13.0,1,199.69
p1_N_S.68,377.0,22.58,12.0,1,195.4
p1_E_W.16,384.0,6.43,0.0,0,150.23
p1_N_S.69,383.0,18.32,7.0,1,190.95
p1_S_N.67,372.0,23.3,12.0,1,189.42
p1_N_S.70,388.0,14.41,3.0,1,185.43
p1_S_N.68,377.0,25.64,10.0,1,207.7
p1_N_S.71,394.0,11.94,0.0,0,177.33
p1_S_N.69,383.0,16.73,5.0,1,181.03
p1_N_S.72,399.0,8.66,0.0,0,170.21
p1_S_N.70,388.0,21.17,5.0,1,188.84
p1_S_N.71,394.0,15.07,0.0,0,186.0
p1_S_N.72,399.0,13.67,0.0,0,187.68
