id,depart,timeloss,espera,paradas,co2
p1_E_W.0,0.0,6.56,0.0,0,158.48
p1_W_E.0,0.0,6.27,0.0,0,150.97
p1_E_N.0,3.0,7.7,0.0,0,163.5
p1_W_S.0,3.0,7.59,0.0,0,168.98
p1_N_W.0,3.0,18.47,5.0,1,187.53
p1_N_S.0,0.0,16.31,5.0,1,175.74
p1_S_N.0,0.0,15.73,5.0,1,176.83
p1_N_S.1,6.0,22.08,4.0,1,194.07
p1_S_N.1,6.0,23.04,2.0,1,199.63
p1_N_S.2,12.0,17.73,3.0,1,184.29
p1_S_N.2,12.0,18.46,1.0,1,190.43
p1_S_E.0,3.0,14.18,3.0,1,177.67
p1_N_S.3,17.0,14.6,0.0,0,181.76
p1_S_N.3,17.0,14.51,0.0,0,186.44
p1_N_S.4,23.0,10.13,0.0,0,175.69
p1_N_S.5,28.0,6.74,0.0,0,158.73
p1_S_N.4,23.0,6.49,0.0,0,148.44
p1_S_N.5,28.0,9.95,0.0,0,175.22
p1_W_E.1,24.0,15.45,4.0,1,184.94
p1_E_W.1,24.0,15.87,5.0,1,187.89
p1_S_N.6,34.0,18.61,7.0,1,188.41
p1_N_S.6,34.0,17.07,5.0,1,190.99
p1_S_N.7,39.0,15.17,4.0,1,183.36
p1_N_S.7,39.0,17.04,4.0,1,188.28
p1_N_S.8,45.0,12.76,0.0,0,191.14
p1_N_W.1,48.0,10.31,0.0,0,171.97
p1_S_E.1,48.0,10.31,0.0,0,172.38
p1_S_N.8,45.0,7.8,0.0,0,163.78
p1_N_S.9,51.0,9.23,0.0,0,174.2
p1_W_E.2,48.0,15.09,4.0,1,183.25
p1_E_W.2,48.0,14.28,4.0,1,171.33
p1_S_N.9,51.0,27.39,15.0,1,200.12
p1_S_N.10,56.0,23.72,12.0,1,201.34
p1_N_S.10,56.0,21.09,9.0,1,193.92
p1_S_N.11,61.0,21.21,8.0,1,190.47
p1_N_S.11,61.0,19.74,6.0,1,203.66
p1_N_S.12,67.0,15.69,3.0,1,188.51
p1_N_S.13,72.0,14.67,1.0,1,190.76
p1_S_N.12,67.0,14.06,1.0,1,178.01
p1_W_E.3,72.0,18.93,6.0,1,192.16
p1_E_W.3,72.0,17.13,5.0,1,190.75
p1_W_S.1,90.0,7.17,0.0,0,157.75
p1_N_S.14,78.0,21.71,11.0,1,188.34
p1_N_W.2,92.0,19.07,7.0,1,186.38
p1_N_S.15,84.0,28.36,10.0,1,206.36
p1_S_E.2,92.0,21.06,5.0,1,187.11
p1_N_S.16,89.0,25.12,8.0,1,211.54
p1_S_N.13,72.0,21.97,11.0,1,195.97
p1_S_N.14,78.0,39.33,10.0,1,210.97
p1_S_N.15,84.0,36.68,9.0,1,198.59
p1_S_N.16,89.0,33.36,8.0,1,215.27
p1_W_E.4,96.0,17.74,6.0,1,179.03
p1_E_W.4,96.0,18.33,8.0,1,183.87
p1_E_N.1,90.0,23.4,11.0,1,184.11
p1_N_S.17,95.0,35.36,16.0,2,219.72
p1_N_S.18,100.0,29.62,11.0,1,204.55
p1_S_N.17,95.0,29.82,12.0,2,210.74
p1_N_S.19,106.0,30.72,11.0,1,216.39
p1_S_N.18,100.0,37.94,10.0,1,217.81
p1_N_S.20,111.0,27.37,11.0,1,209.89
p1_S_N.19,106.0,24.77,9.0,1,199.27
p1_S_N.20,111.0,29.08,8.0,1,209.24
p1_E_W.5,120.0,23.73,12.0,1,195.57
p1_W_E.5,120.0,24.15,13.0,1,192.61
p1_W_E.6,144.0,6.32,0.0,0,148.57
p1_S_N.21,117.0,39.16,23.0,2,224.51
p1_S_N.22,122.0,33.82,17.0,2,213.16
p1_S_N.23,128.0,34.87,12.0,2,232.37
p1_N_S.21,117.0,32.07,16.0,2,216.89
