id,depart,timeloss,espera,paradas,co2
p1_N3_S3.0,0.0,5.0,0.0,0,121.58
p1_S3_N3.0,0.0,4.99,0.0,0,122.23
p1_N1_S1.0,0.0,5.06,0.0,0,114.09
p1_S1_N1.0,0.0,5.25,0.0,0,120.11
p1_N2_S2.0,0.0,26.88,16.0,1,166.4
p1_S2_N2.0,0.0,25.47,15.0,1,162.12
p1_N2_S2.1,24.0,5.62,0.0,0,126.12
p1_S2_N2.1,24.0,9.33,0.0,0,146.59
p1_W_NR.0,3.0,9.08,0.0,0,165.97
p1_N1_S1.1,24.0,27.07,17.0,1,173.92
p1_S1_N1.1,24.0,27.34,17.0,1,173.29
p1_N3_S3.1,24.0,27.73,16.0,1,172.66
p1_S3_N3.1,24.0,27.69,17.0,1,172.59
p1_S1_N1.2,48.0,4.9,0.0,0,123.56
p1_N3_S3.2,48.0,5.38,0.0,0,116.58
p1_N1_S1.2,48.0,4.51,0.0,0,112.53
p1_S3_N3.2,48.0,4.46,0.0,0,122.54
p1_W_NR.1,48.0,12.11,0.0,0,177.34
p1_S2_N2.2,48.0,26.8,17.0,1,172.76
p1_N2_S2.2,48.0,25.72,15.0,1,167.87
p1_S2_N2.3,72.0,5.16,0.0,0,116.53
p1_S1_E.0,3.0,28.5,13.0,1,287.57
p1_N2_S2.3,72.0,4.95,0.0,0,120.7
p1_SR_E.0,0.0,10.43,0.0,0,288.54
p1_N1_S1.3,72.0,26.0,15.0,1,169.2
p1_S1_N1.3,72.0,25.36,14.0,1,169.01
p1_N3_S3.3,72.0,25.86,14.0,1,167.98
p1_N3_S3.4,96.0,5.14,0.0,0,119.53
p1_N1_S1.4,96.0,4.88,0.0,0,119.17
p1_S3_N3.3,72.0,22.0,11.0,1,154.84
p1_S3_N3.4,96.0,8.12,0.0,0,137.57
p1_E_W.1,15.0,12.26,0.0,0,312.88
p1_S1_N1.4,96.0,5.59,0.0,0,126.55
p1_N3_W.0,3.0,34.66,12.0,1,357.07
p1_W_NR.2,92.0,10.12,0.0,0,167.54
p1_N2_S2.4,96.0,24.71,15.0,1,169.06
p1_S2_N2.4,96.0,25.12,15.0,1,170.57
