id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,5.06,0.0,0,114.09
p1_S1_N1.0,0.0,5.25,0.0,0,120.11
p1_N2_S2.0,0.0,5.27,0.0,0,114.93
p1_N3_S3.0,0.0,10.76,0.0,0,146.35
p1_S3_N3.0,0.0,10.57,0.0,0,148.58
p1_S2_N2.0,0.0,6.04,0.0,0,122.01
p1_W_NR.0,3.0,9.08,0.0,0,165.97
p1_N1_S1.1,24.0,16.71,7.0,1,154.75
p1_S1_N1.1,24.0,17.69,7.0,1,159.04
p1_S2_N2.1,24.0,17.69,8.0,1,163.47
p1_N3_S3.1,24.0,17.77,7.0,1,160.71
p1_N2_S2.1,24.0,16.42,5.0,1,154.19
p1_S3_N3.1,24.0,17.89,7.0,1,163.7
p1_S1_E.0,3.0,9.03,0.0,0,247.17
p1_N3_S3.2,48.0,23.71,13.0,1,165.12
p1_W_NR.1,48.0,12.05,0.0,0,168.73
p1_S3_N3.2,48.0,22.56,12.0,1,160.93
p1_S1_N1.2,48.0,28.77,18.0,1,181.7
p1_N3_S3.3,72.0,6.05,0.0,0,120.13
p1_N1_S1.2,48.0,28.06,18.0,1,171.23
p1_N1_S1.3,72.0,8.86,0.0,0,144.68
p1_S1_N1.3,72.0,9.61,0.0,0,143.37
p1_S2_N2.2,48.0,34.71,25.0,1,185.16
p1_N2_S2.2,48.0,33.7,25.0,1,182.27
p1_S2_N2.3,72.0,12.45,1.0,1,152.92
p1_N2_S2.3,72.0,8.57,0.0,0,127.84
p1_SR_E.0,0.0,12.42,0.0,0,299.64
p1_N3_W.0,3.0,15.27,0.0,0,316.78
p1_N3_S3.4,96.0,5.29,0.0,0,122.36
p1_S3_N3.3,72.0,21.97,13.0,1,160.08
p1_S3_N3.4,96.0,8.1,0.0,0,128.99
p1_W_NR.2,91.0,11.12,0.0,0,169.97
p1_N2_S2.4,96.0,26.98,18.0,1,173.4
p1_S2_N2.4,96.0,27.46,17.0,1,180.17
p1_W_E.1,6.0,37.09,12.0,1,363.27
p1_N2_S2.5,120.0,5.33,0.0,0,128.54
p1_S2_N2.5,120.0,5.65,0.0,0,122.02
p1_W_E.4,23.0,22.84,2.0,1,344.97
p1_W_E.5,28.0,19.17,0.0,0,340.18
p1_N1_S1.4,96.0,32.23,22.0,1,180.45
p1_N1_S1.5,120.0,11.07,0.0,0,143.78
p1_E_W.1,15.0,34.26,12.0,2,390.39
p1_W_E.0,0.0,29.42,12.0,1,363.12
p1_S1_N1.4,96.0,26.8,16.0,1,170.15
p1_W_E.3,17.0,21.0,1.0,1,343.75
p1_S1_N1.5,120.0,15.99,0.0,0,149.1
p1_W_E.2,12.0,39.47,10.0,1,365.81
p1_S1_E.1,60.0,22.13,9.0,1,276.86
p1_S3_N3.5,120.0,19.37,8.0,1,157.3
p1_N3_S3.5,120.0,17.8,6.0,1,154.14
p1_E_W.0,0.0,34.45,6.0,2,393.48
p1_W_E.7,39.0,38.86,16.0,2,377.27
p1_W_E.6,34.0,43.63,22.0,2,391.56
p1_SR_E.1,24.0,66.39,39.0,3,407.71
p1_W_NR.3,136.0,9.45,0.0,0,163.58
p1_W_E.8,45.0,26.53,8.0,1,358.9
p1_W_E.9,51.0,30.49,8.0,1,347.73
p1_E_W.3,44.0,21.41,5.0,1,348.53
p1_SR_E.2,48.0,46.73,24.0,3,365.3
p1_SR_E.3,72.0,22.6,7.0,1,320.65
p1_E_W.2,29.0,39.18,13.0,2,400.01
p1_W_E.12,67.0,21.12,0.0,0,327.88
p1_S1_N1.6,144.0,25.8,14.0,1,169.82
p1_W_E.11,61.0,24.6,0.0,0,323.92
p1_W_E.13,72.0,18.85,0.0,0,335.47
p1_N1_S1.6,144.0,21.7,12.0,1,158.85
p1_S1_N1.7,168.0,5.38,0.0,0,118.64
p1_E_W.5,72.0,23.47,6.0,1,345.86
p1_N2_S2.6,144.0,35.6,26.0,1,183.13
p1_S2_N2.6,144.0,36.33,25.0,1,188.95
p1_N1_S1.7,168.0,5.64,0.0,0,117.69
p1_S2_N2.7,168.0,14.18,2.0,1,151.89
p1_N2_S2.7,168.0,12.46,1.0,1,148.65
p1_S1_E.2,123.0,12.52,0.0,0,253.57
p1_N3_S3.6,144.0,41.83,31.0,1,192.95
p1_S3_N3.6,144.0,40.83,30.0,1,194.33
p1_S3_N3.7,168.0,19.42,9.0,1,158.93
p1_E_W.4,58.0,35.74,8.0,2,394.07
p1_N3_W.1,60.0,30.66,9.0,2,361.41
p1_N3_S3.7,168.0,18.65,7.0,1,151.85
p1_E_W.7,101.0,11.53,0.0,0,312.97
p1_E_W.6,87.0,21.34,4.0,1,341.67
p1_W_NR.4,181.0,8.55,0.0,0,163.8
p1_W_E.16,89.0,35.04,8.0,2,387.22
p1_N1_S1.8,192.0,18.47,9.0,1,162.21
p1_W_E.15,84.0,27.37,5.0,1,363.01
p1_W_E.18,100.0,18.57,0.0,0,335.91
p1_W_E.17,95.0,17.95,0.0,0,329.45
p1_S1_N1.8,192.0,18.83,8.0,1,159.69
p1_W_E.19,106.0,28.81,0.0,0,361.07
p1_W_E.10,56.0,28.68,7.0,1,350.81
p1_E_W.8,116.0,19.8,2.0,1,340.33
p1_W_E.14,78.0,38.52,7.0,1,368.88
p1_W_E.20,111.0,28.46,12.0,1,369.35
p1_SR_E.4,96.0,55.74,35.0,2,371.74
p1_N3_W.2,123.0,24.35,5.0,1,336.3
p1_W_E.21,117.0,25.42,8.0,1,349.57
p1_W_E.22,122.0,20.16,2.0,1,350.67
p1_S2_N2.8,192.0,33.57,23.0,1,181.73
p1_N3_S3.8,192.0,33.95,23.0,1,186.36
p1_N2_S2.8,192.0,32.95,22.0,1,181.87
p1_S3_N3.8,192.0,33.21,22.0,1,187.85
p1_S2_N2.9,216.0,11.34,0.0,0,154.43
p1_N3_S3.9,216.0,11.46,0.0,0,148.4
p1_N2_S2.9,216.0,12.62,1.0,1,149.24
p1_S3_N3.9,216.0,12.77,0.0,0,150.1
p1_W_E.23,128.0,35.7,13.0,2,378.63
p1_W_E.24,133.0,28.86,7.0,2,371.81
p1_W_NR.5,225.0,11.21,0.0,0,170.0
p1_W_E.25,139.0,23.94,5.0,1,347.6
p1_W_E.26,144.0,17.66,0.0,0,340.61
p1_SR_E.5,120.0,60.59,39.0,2,383.23
p1_W_E.27,150.0,12.96,0.0,0,321.4
p1_N1_S1.9,216.0,39.63,29.0,1,188.04
p1_S1_N1.9,216.0,40.52,29.0,1,194.84
p1_E_W.9,130.0,45.7,17.0,3,412.43
p1_S1_N1.10,240.0,18.88,8.0,1,159.31
p1_N1_S1.10,240.0,17.05,6.0,1,154.82
p1_E_W.10,144.0,37.91,8.0,2,406.52
p1_E_W.11,159.0,25.19,2.0,1,344.34
p1_SR_E.6,144.0,52.68,30.0,3,377.74
p1_N2_S2.10,240.0,23.92,15.0,1,164.94
p1_S1_E.3,180.0,40.63,21.0,2,310.43
p1_S2_N2.10,240.0,22.88,12.0,1,155.73
p1_N2_S2.11,264.0,4.87,0.0,0,124.65
p1_S2_N2.11,264.0,7.89,0.0,0,125.87
p1_W_E.28,156.0,21.85,4.0,1,340.5
p1_W_E.30,167.0,26.82,3.0,1,338.14
p1_SR_E.7,168.0,36.46,13.0,2,353.34
p1_N3_S3.10,240.0,37.72,25.0,1,188.2
p1_S3_N3.10,240.0,37.17,26.0,1,179.51
p1_W_E.31,172.0,23.47,1.0,1,342.07
p1_S3_N3.11,264.0,15.53,4.0,1,154.93
p1_N3_S3.11,264.0,17.38,6.0,1,155.29
p1_W_E.32,178.0,37.01,12.0,2,383.0
p1_N3_W.3,180.0,14.49,0.0,0,312.72
p1_W_E.33,184.0,30.24,13.0,1,354.89
p1_W_E.35,194.0,22.89,5.0,1,342.74
p1_N1_S1.11,264.0,38.07,29.0,1,190.04
p1_W_E.34,189.0,25.17,4.0,1,359.94
p1_W_NR.6,270.0,9.69,0.0,0,164.21
p1_E_W.13,188.0,34.26,13.0,2,391.42
p1_S1_N1.11,264.0,36.51,26.0,1,185.57
p1_N1_S1.12,288.0,16.39,6.0,1,159.9
p1_S1_N1.12,288.0,18.49,6.0,1,164.8
p1_W_E.29,161.0,29.32,4.0,2,364.86
p1_W_E.37,205.0,22.4,4.0,1,347.38
p1_SR_E.8,192.0,47.79,30.0,2,362.62
p1_W_E.36,200.0,23.65,4.0,1,331.05
p1_N2_S2.12,288.0,24.0,14.0,1,167.83
p1_S2_N2.12,288.0,23.46,12.0,1,159.62
p1_S2_N2.13,312.0,4.74,0.0,0,125.34
p1_N2_S2.13,312.0,5.54,0.0,0,122.46
p1_E_W.12,173.0,48.15,18.0,4,402.49
p1_E_W.14,202.0,19.99,1.0,1,332.98
p1_W_E.41,228.0,14.52,0.0,0,319.95
p1_N3_S3.12,288.0,33.76,23.0,1,181.38
p1_S1_E.4,243.0,18.15,4.0,1,262.62
p1_W_E.39,216.0,24.6,4.0,1,349.02
p1_N3_S3.13,312.0,15.47,3.0,1,154.51
p1_S3_N3.12,288.0,30.75,20.0,1,167.46
p1_S3_N3.13,312.0,12.91,0.0,0,150.34
p1_W_NR.7,315.0,11.17,0.0,0,165.52
p1_W_E.42,233.0,28.32,12.0,1,346.44
p1_W_E.38,211.0,37.66,16.0,2,378.25
p1_W_E.40,222.0,32.5,10.0,1,369.59
p1_W_E.43,239.0,27.51,6.0,1,356.82
p1_S1_N1.13,312.0,41.42,32.0,1,195.68
p1_E_W.16,231.0,41.95,15.0,3,390.86
p1_W_E.45,250.0,22.38,4.0,1,345.2
p1_N1_S1.13,312.0,40.74,30.0,1,185.62
p1_N1_S1.14,336.0,21.04,9.0,1,163.52
p1_S1_N1.14,336.0,19.1,8.0,1,156.42
