id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,20.28,9.0,1,157.07
p1_N3_S3.0,0.0,21.95,11.0,1,161.85
p1_S3_N3.0,0.0,22.04,10.0,1,165.38
p1_S1_N1.0,0.0,20.6,9.0,1,160.15
p1_N2_S2.0,0.0,20.57,9.0,1,153.25
p1_S2_N2.0,0.0,18.87,8.0,1,151.36
p1_N1_S1.1,24.0,4.67,0.0,0,120.66
p1_S1_N1.1,24.0,4.8,0.0,0,118.21
p1_S2_N2.1,24.0,4.71,0.0,0,120.78
p1_N3_S3.1,24.0,4.93,0.0,0,121.01
p1_S3_N3.1,24.0,4.81,0.0,0,123.97
p1_W_NR.0,3.0,9.08,0.0,0,165.97
p1_N2_S2.1,24.0,22.42,13.0,1,164.02
p1_S2_N2.2,48.0,5.05,0.0,0,117.38
p1_N2_S2.2,48.0,5.19,0.0,0,115.9
p1_N3_S3.2,48.0,4.94,0.0,0,121.02
p1_S3_N3.2,48.0,4.68,0.0,0,122.37
p1_S1_N1.2,48.0,24.47,13.0,1,173.48
p1_W_NR.1,48.0,12.07,0.0,0,162.62
p1_N1_S1.2,48.0,22.83,12.0,1,161.62
p1_N3_S3.3,72.0,5.01,0.0,0,119.11
p1_N1_S1.3,72.0,5.72,0.0,0,122.54
p1_S1_N1.3,72.0,5.25,0.0,0,123.11
p1_S2_N2.3,72.0,5.5,0.0,0,120.19
p1_N2_S2.3,72.0,5.71,0.0,0,126.34
p1_S3_N3.3,72.0,5.28,0.0,0,118.78
p1_S1_E.0,3.0,38.2,17.0,2,316.01
p1_SR_E.0,0.0,13.82,0.0,0,317.51
p1_N2_S2.4,96.0,4.74,0.0,0,123.65
p1_S2_N2.4,96.0,4.92,0.0,0,119.76
p1_S3_N3.4,96.0,4.38,0.0,0,124.0
p1_N3_S3.4,96.0,5.52,0.0,0,125.48
p1_W_NR.2,92.0,10.02,0.0,0,168.17
p1_W_E.1,6.0,29.3,3.0,1,364.46
p1_W_E.4,23.0,14.1,0.0,0,312.21
p1_W_E.2,12.0,24.64,0.0,0,338.2
p1_E_W.1,15.0,23.34,0.0,0,363.86
p1_N1_S1.4,96.0,26.8,16.0,1,167.26
p1_N2_S2.5,120.0,4.88,0.0,0,123.35
p1_S2_N2.5,120.0,5.0,0.0,0,124.16
p1_S3_N3.5,120.0,4.88,0.0,0,117.25
p1_W_E.0,0.0,20.86,2.0,1,345.37
p1_N3_W.0,3.0,45.74,17.0,2,391.73
p1_N1_S1.5,120.0,5.71,0.0,0,125.52
p1_W_E.3,17.0,12.11,0.0,0,312.12
p1_N3_S3.5,120.0,5.11,0.0,0,122.05
p1_S1_N1.4,96.0,21.83,13.0,1,162.92
p1_S1_N1.5,120.0,10.89,0.0,0,130.14
p1_E_W.0,0.0,30.07,9.0,1,355.41
p1_W_E.6,34.0,26.56,5.0,1,380.8
p1_SR_E.1,24.0,49.56,26.0,1,398.61
p1_S1_E.1,60.0,30.01,10.0,2,297.69
p1_W_E.5,28.0,36.47,12.0,2,396.6
p1_SR_E.2,48.0,27.79,3.0,1,358.09
p1_W_E.7,39.0,27.73,0.0,0,376.64
p1_W_E.9,51.0,15.83,0.0,0,332.21
p1_N2_S2.6,144.0,5.58,0.0,0,136.42
p1_S2_N2.6,144.0,5.47,0.0,0,132.04
p1_N3_S3.6,144.0,5.53,0.0,0,126.61
p1_S3_N3.6,144.0,5.13,0.0,0,123.72
p1_W_E.8,45.0,14.73,0.0,0,318.05
p1_S1_N1.6,144.0,9.51,0.0,0,146.14
p1_E_W.2,29.0,26.69,10.0,1,351.01
p1_N1_S1.6,144.0,5.45,0.0,0,118.02
p1_E_W.3,44.0,14.98,0.0,0,313.22
p1_W_NR.3,136.0,8.93,0.0,0,164.52
p1_SR_E.3,72.0,25.82,8.0,1,353.37
p1_W_E.12,67.0,21.26,0.0,0,323.53
p1_W_E.11,61.0,25.5,0.0,0,335.1
p1_E_W.5,72.0,20.99,1.0,1,371.97
p1_S2_N2.7,168.0,8.17,0.0,0,140.16
p1_N2_S2.7,168.0,6.85,0.0,0,128.39
p1_S3_N3.7,168.0,8.38,0.0,0,143.16
p1_N3_S3.7,168.0,6.09,0.0,0,126.2
p1_E_W.4,58.0,28.55,7.0,1,366.51
p1_N3_W.1,60.0,29.2,8.0,1,359.05
p1_W_E.13,72.0,40.81,10.0,1,398.27
p1_S1_E.2,123.0,22.39,8.0,1,292.16
p1_W_E.16,89.0,26.91,0.0,0,385.16
p1_S1_N1.7,168.0,32.52,23.0,1,184.3
p1_E_W.7,101.0,20.07,2.0,1,362.33
p1_S2_N2.8,192.0,12.11,2.0,1,151.56
p1_N1_S1.7,168.0,28.77,19.0,1,172.29
p1_W_NR.4,181.0,8.83,0.0,0,162.07
p1_N2_S2.8,192.0,10.66,0.0,0,144.11
p1_S3_N3.8,192.0,10.34,0.0,0,150.43
p1_W_E.15,84.0,20.68,0.0,0,344.9
p1_N3_S3.8,192.0,13.82,2.0,1,154.31
p1_N1_S1.8,192.0,14.2,0.0,0,158.88
p1_S1_N1.8,192.0,10.26,0.0,0,139.63
p1_W_E.19,106.0,18.88,0.0,0,339.7
p1_W_E.14,78.0,26.98,3.0,1,362.1
p1_E_W.6,87.0,30.25,6.0,2,371.87
p1_N3_W.2,123.0,23.9,5.0,1,347.19
p1_SR_E.4,96.0,56.01,34.0,2,380.49
p1_E_W.8,116.0,26.82,4.0,1,379.98
p1_W_E.22,122.0,20.48,0.0,0,358.1
p1_W_E.23,128.0,16.52,0.0,0,352.23
p1_E_W.9,130.0,16.1,0.0,0,327.74
p1_W_E.21,117.0,30.29,4.0,1,381.94
p1_N2_S2.9,216.0,13.66,4.0,1,156.31
p1_S2_N2.9,216.0,13.65,2.0,1,151.92
p1_N3_S3.9,216.0,13.48,2.0,1,150.38
p1_S3_N3.9,216.0,12.99,3.0,1,148.11
p1_W_E.20,111.0,38.05,9.0,1,399.82
p1_S1_N1.9,216.0,15.3,5.0,1,159.94
p1_N1_S1.9,216.0,15.37,4.0,1,149.01
p1_W_E.10,56.0,46.36,20.0,2,393.87
p1_W_E.17,95.0,37.27,13.0,1,389.9
p1_W_E.18,100.0,42.26,12.0,1,396.11
p1_E_W.10,144.0,20.91,2.0,1,347.89
p1_W_E.24,133.0,29.75,11.0,1,376.94
p1_W_E.25,139.0,22.47,5.0,1,340.86
p1_W_NR.5,225.0,11.34,0.0,0,169.15
p1_W_E.26,144.0,18.45,0.0,0,351.86
p1_W_E.27,150.0,11.66,0.0,0,298.4
p1_E_W.11,159.0,11.73,0.0,0,302.2
p1_N3_S3.10,240.0,15.87,6.0,1,159.13
p1_S3_N3.10,240.0,15.07,6.0,1,151.09
p1_N2_S2.10,240.0,12.72,3.0,1,143.94
p1_S2_N2.10,240.0,11.31,2.0,1,143.51
p1_S1_N1.10,240.0,22.66,11.0,1,162.82
p1_N1_S1.10,240.0,21.37,12.0,1,162.07
p1_N1_S1.11,264.0,4.96,0.0,0,120.81
p1_SR_E.6,144.0,57.42,28.0,4,416.85
p1_S1_E.3,180.0,43.26,25.0,2,334.25
p1_SR_E.5,120.0,84.5,52.0,4,453.73
p1_SR_E.7,168.0,35.41,5.0,3,372.93
p1_W_E.30,167.0,27.73,1.0,1,360.9
p1_W_E.31,172.0,23.77,0.0,0,365.13
p1_W_E.32,178.0,19.8,0.0,0,351.55
p1_W_E.28,156.0,29.02,6.0,1,368.41
p1_N3_S3.11,264.0,17.36,9.0,1,160.28
p1_S3_N3.11,264.0,17.02,6.0,1,157.3
p1_E_W.12,173.0,16.07,0.0,0,338.02
p1_S2_N2.11,264.0,22.3,13.0,1,158.95
