id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,9.04,0.0,0,137.72
p1_S1_N1.0,0.0,8.79,0.0,0,142.18
p1_N3_S3.0,0.0,10.76,0.0,0,146.35
p1_S3_N3.0,0.0,10.57,0.0,0,148.58
p1_N2_S2.0,0.0,8.57,0.0,0,135.03
p1_S2_N2.0,0.0,6.15,0.0,0,124.0
p1_W_NR.0,3.0,9.08,0.0,0,165.97
p1_N1_S1.1,24.0,22.32,12.0,1,169.47
p1_S1_N1.1,24.0,23.12,11.0,1,162.62
p1_N3_S3.1,24.0,22.86,12.0,1,167.66
p1_S3_N3.1,24.0,22.33,12.0,1,166.59
p1_S1_N1.2,48.0,4.7,0.0,0,121.85
p1_N3_S3.2,48.0,5.04,0.0,0,117.58
p1_N1_S1.2,48.0,4.67,0.0,0,113.86
p1_S1_E.0,3.0,11.5,0.0,0,258.79
p1_S2_N2.1,24.0,42.69,33.0,1,200.55
p1_N2_S2.1,24.0,41.28,31.0,1,191.03
p1_S2_N2.2,48.0,20.65,11.0,1,162.55
p1_N2_S2.2,48.0,19.68,8.0,1,166.51
p1_W_NR.1,48.0,12.04,0.0,0,168.84
p1_N1_S1.3,72.0,15.57,6.0,1,156.93
p1_S1_N1.3,72.0,17.13,7.0,1,153.58
p1_N3_S3.3,72.0,18.1,5.0,1,159.02
p1_SR_E.0,0.0,11.13,0.0,0,288.48
p1_S3_N3.2,48.0,37.97,26.0,1,180.56
p1_N3_W.0,3.0,15.74,0.0,0,315.34
p1_S3_N3.3,72.0,13.65,3.0,1,143.27
p1_S2_N2.3,72.0,35.33,26.0,1,187.61
p1_S2_N2.4,96.0,13.42,4.0,1,151.09
p1_W_E.1,6.0,22.45,0.0,0,343.16
p1_E_W.1,15.0,12.68,0.0,0,326.04
p1_N2_S2.3,72.0,31.27,22.0,1,165.15
p1_N2_S2.4,96.0,17.09,4.0,1,160.77
p1_W_E.2,12.0,17.2,0.0,0,316.2
p1_W_E.4,23.0,13.07,0.0,0,303.13
p1_W_NR.2,92.0,10.4,0.0,0,162.96
p1_W_E.5,28.0,12.65,0.0,0,313.17
p1_W_E.0,0.0,20.84,2.0,1,341.94
p1_E_W.0,0.0,17.46,0.0,0,337.39
p1_W_E.3,17.0,12.25,0.0,0,322.97
p1_N3_S3.4,96.0,32.83,20.0,1,181.53
p1_S3_N3.4,96.0,32.86,23.0,1,184.41
p1_W_E.6,34.0,12.54,0.0,0,311.26
p1_N1_S1.4,96.0,32.03,21.0,1,179.07
p1_N1_S1.5,120.0,11.0,0.0,0,142.75
p1_S3_N3.5,120.0,10.62,0.0,0,146.11
p1_N3_S3.5,120.0,8.69,0.0,0,140.71
p1_S1_N1.4,96.0,27.15,17.0,1,158.96
